from_symbol,to_symbol
Plcb3,Plce1
Plcb3,Pik3ca
Plcb3,Pik3cd
Plcb3,Pik3cg
Plcb3,Pik3cb
Plcb3,Pikfyve
Plcb3,Cdipt
Plcb3,Pik3c2a
Plcb3,Pik3c2g
Plcb3,Pik3c2b
Plcb3,Dgkz
Plcb3,Dgkg
Plcb3,Dgkq
Plcb3,Dgka
Plcb3,Dgkb
Plcb3,Dgkd
Plcb3,Dgki
Plcb3,Dgkk
Plcb3,Dgkh
Plcb3,Dgke
Plcb3,Egfr
Plcb3,Prkca
Plcb3,Prkcb
Plcb3,Prkcg
Plcb3,Pik3r1
Plcb3,Pik3r2
Plcb3,Pik3r3
Plcb3,Ppp3ca
Plcb3,Ppp3cb
Plcb3,Ppp3cc
Plcb3,Ppp3r1
Plcb3,Ppp3r2
Plcb3,Calm1
Plcb3,Calm2
Plcb3,Calm3
Plcb3,Calm5
Plcb3,Calml3
Plcb3,Calml4
Plcb3,Calm4
Plcb3,Camk2d
Plcb3,Camk2a
Plcb3,Camk2b
Plcb3,Camk2g
Plcb3,Prkce
Plcb3,Prkcd
Plcb3,Pi4kb
Plcb3,Pi4ka
Plcb3,Pi4k2b
Plcb3,Pi4k2a
Plcb3,Impad1
Plcb3,Itpr1
Plcb3,Itpr2
Plcb3,Itpr3
Plcb3,Kcnk3
Plcb3,Kcnk9
Plcb4,Minpp1
Plcb4,Pip4k2b
Plcb4,Pip4k2c
Plcb4,Pip4k2a
Plcb4,Synj1
Plcb4,Inpp5b
Plcb4,Synj2
Plcb4,Ocrl
Plcb4,Inpp5e
Plcb4,Ipmk
Plcb4,Pten
Plcb4,Inpp5j
Plcb4,Inpp5k
Plcb4,Inpp5a
Plcb4,Itpka
Plcb4,Itpkc
Plcb4,Itpkb
Plcb4,Mtm1
Plcb4,Impa2
Plcb4,Impa1
Plcb4,Pip5k1c
Plcb4,Pip5k1b
Plcb4,Pip5k1a
Plcb4,Pip5kl1
Plcb4,Pik3c3
Plcb4,Mtmr4
Plcb4,Mtmr6
Plcb4,Mtmr1
Plcb4,Mtmr7
Plcb4,Mtmr3
Plcb4,Mtmr2
Plcb4,Mtmr14
Plcb4,Plcz1
Plcb4,Plcb1
Plcb4,Plcb2
Plcb4,Plcb3
Plcb4,Plcb4
Plcb4,Plcd1
Plcb4,Plcd4
Plcb4,Plcg1
Plcb4,Plcg2
Plcb4,Plcd3
Plcb4,Plce1
Plcb4,Pik3ca
Plcb4,Pik3cd
Plcb4,Pik3cg
Plcb4,Pik3cb
Plcb4,Pikfyve
Plcb4,Cdipt
Plcb4,Pik3c2a
Plcb4,Pik3c2g
Plcb4,Pik3c2b
Plcb4,Dgkz
Plcb4,Dgkg
Plcb4,Dgkq
Plcb4,Dgka
Plcb4,Dgkb
Plcb4,Dgkd
Plcb4,Dgki
Plcb4,Dgkk
Plcb4,Dgkh
Plcb4,Dgke
Plcb4,Egfr
Plcb4,Prkca
Plcb4,Prkcb
Plcb4,Prkcg
Plcb4,Pik3r1
Plcb4,Pik3r2
Plcb4,Pik3r3
Plcb4,Ppp3ca
Plcb4,Ppp3cb
Plcb4,Ppp3cc
Plcb4,Ppp3r1
Plcb4,Ppp3r2
Plcb4,Calm1
Plcb4,Calm2
Plcb4,Calm3
Plcb4,Calm5
Plcb4,Calml3
Plcb4,Calml4
Plcb4,Calm4
Plcb4,Camk2d
Plcb4,Camk2a
Plcb4,Camk2b
Plcb4,Camk2g
Plcb4,Prkce
Plcb4,Prkcd
Plcb4,Pi4kb
Plcb4,Pi4ka
Plcb4,Pi4k2b
Plcb4,Pi4k2a
Plcb4,Impad1
Plcb4,Itpr1
Plcb4,Itpr2
Plcb4,Itpr3
Plcb4,Kcnk3
Plcb4,Kcnk9
Pik3ca,Pip4k2b
Pik3ca,Pip4k2c
Pik3ca,Pip4k2a
Pik3ca,Synj1
Pik3ca,Inpp5b
Pik3ca,Synj2
Pik3ca,Ocrl
Pik3ca,Inpp5e
Pik3ca,Pten
Pik3ca,Pip5k1c
Pik3ca,Pip5k1b
Pik3ca,Pip5k1a
Pik3ca,Pip5kl1
Pik3ca,Plcg1
Pik3ca,Plcg2
Pik3ca,Inpp5d
Pik3ca,Inppl1
Pik3ca,Chkb
Pik3ca,Chka
Pik3ca,Pld1
Pik3ca,Pld2
Pik3ca,Mtor
Pik3ca,Akt1
Pik3ca,Akt2
Pik3ca,Akt3
Pik3ca,Raf1
Pik3ca,Hras
Pik3ca,Kras
Pik3ca,Nras
Pik3ca,Src
Pik3ca,Foxo3
Pik3ca,Ptk2
Pik3ca,Pdpk1
Pik3ca,Casp3
Pik3ca,Cdc42
Pik3ca,Rac3
Pik3ca,Rac1
Pik3ca,Rac2
Pik3ca,Vav1
Pik3ca,Vav2
Pik3ca,Vav3
Pik3ca,Lcp2
Pik3ca,Itk
Pik3ca,Prkcd
Pik3ca,Prkcz
Pik3ca,Prex1
Pik3ca,Btk
Pik3ca,Hif1a
Pik3ca,Pdk1
Pik3ca,Foxo1
Pik3ca,Cyth1
Pik3ca,Cyth2
Pik3ca,Cyth3
Pik3ca,Cyth4
Pik3ca,Itgb3
Pik3ca,Ilk
Pik3ca,Prkci
Pik3ca,Itga2b
Pik3ca,Txk
Pik3ca,Itgav
Pik3ca,Thra
Pik3ca,Atp1a1
Pik3ca,Atp1b1
Pik3ca,Atp1b2
Pik3ca,Atp1b3
Pik3ca,Fxyd2
Pik3ca,Atp1a3
Pik3ca,Atp1a4
Pik3ca,Atp1b4
Pik3ca,Atp1a2
Pik3ca,Snx18
Pik3ca,Snx33
Pik3ca,Snx9
Pik3ca,Pip4p1
Pik3ca,Pip4p2
Pik3ca,Slc2a4
Pik3ca,Dnm2
Pik3ca,Amph
Pik3ca,Bin1
Pik3ca,Rcan2
Pik3cd,Pip4k2b
Pik3cd,Pip4k2c
Pik3cd,Pip4k2a
Pik3cd,Synj1
Pik3cd,Inpp5b
Pik3cd,Synj2
Pik3cd,Ocrl
Pik3cd,Inpp5e
Pik3cd,Pten
Pik3cd,Pip5k1c
Pik3cd,Pip5k1b
Pik3cd,Pip5k1a
Pik3cd,Pip5kl1
Pik3cd,Plcg1
Pik3cd,Plcg2
Pik3cd,Inpp5d
Pik3cd,Inppl1
Pik3cd,Chkb
Pik3cd,Chka
Pik3cd,Pld1
Pik3cd,Pld2
Pik3cd,Mtor
Pik3cd,Akt1
Pik3cd,Akt2
Pik3cd,Akt3
Pik3cd,Raf1
Pik3cd,Hras
Pik3cd,Kras
Pik3cd,Nras
Pik3cd,Src
Pik3cd,Foxo3
Pik3cd,Ptk2
Pik3cd,Pdpk1
Pik3cd,Casp3
Pik3cd,Cdc42
Pik3cd,Rac3
Pik3cd,Rac1
Pik3cd,Rac2
Pik3cd,Vav1
Pik3cd,Vav2
Pik3cd,Vav3
Pik3cd,Lcp2
Pik3cd,Itk
Pik3cd,Prkcd
Pik3cd,Prkcz
Pik3cd,Prex1
Pik3cd,Btk
Pik3cd,Hif1a
Pik3cd,Pdk1
Pik3cd,Foxo1
Pik3cd,Cyth1
Pik3cd,Cyth2
Pik3cd,Cyth3
Pik3cd,Cyth4
Pik3cd,Itgb3
Pik3cd,Ilk
Pik3cd,Prkci
Pik3cd,Itga2b
Pik3cd,Txk
Pik3cd,Itgav
Pik3cd,Thra
