"","gene_short_name","status","term","estimate","std_err","test_val","p_value","q_value"
"1108","MT1E","OK","groupNormal",1.18097,0.3875694,3.0471,0.00242,1
"1109","MT1M","OK","groupNormal",2.425962,0.5862402,4.1382,4.03e-05,1
"1110","MT1A","OK","groupNormal",1.168352,0.4987446,2.3426,0.0195,1
"1111","NUP93","OK","groupNormal",-1.493178,0.4341172,-3.4396,0.000625,1
"1112","CPNE2","OK","groupNormal",-0.4676881,0.209481,-2.2326,0.026,1
"1113","POLR2C","OK","groupNormal",-0.6290731,0.2067272,-3.043,0.00245,1
"1114","GPR56","OK","groupNormal",0.341141,0.1217782,2.8013,0.00526,1
"1115","KIFC3","OK","groupNormal",-0.6855212,0.2302307,-2.9775,0.00303,1
"1116","LINC00920","OK","groupNormal",-1.270034,0.6069559,-2.0925,0.0368,1
"1117","CTCF","OK","groupNormal",-0.5411693,0.2321601,-2.331,0.0201,1
"1118","SNTB2","OK","groupNormal",-0.3341567,0.1622538,-2.0595,0.0399,1
"1119","NQO1","OK","groupNormal",-0.638131,0.187793,-3.3981,0.000726,1
"1120","PHLPP2","OK","groupNormal",-1.963182,0.8201145,-2.3938,0.017,1
"1121","TMEM170A","OK","groupNormal",-0.517464,0.248746,-2.0803,0.0379,1
"1122","MON1B","OK","groupNormal",0.9021887,0.3340962,2.7004,0.00713,1
"1123","X7SK.2","OK","groupNormal",0.2548967,0.0944296,2.6993,0.0072,1
"1124","OSGIN1","OK","groupNormal",1.502554,0.7343018,2.0462,0.0412,1
"1125","CYBA","OK","groupNormal",0.3855927,0.1392587,2.7689,0.00581,1
"1126","APRT","OK","groupNormal",-0.5546642,0.1896181,-2.9252,0.00358,1
"1127","DEF8","OK","groupNormal",1.351004,0.497785,2.714,0.00685,1
"1128","RPH3AL","OK","groupNormal",1.077671,0.2772752,3.8866,0.000114,1
"1129","GLOD4","OK","groupNormal",-0.688113,0.3236864,-2.1259,0.0339,1
"1130","NXN","OK","groupNormal",-0.7649396,0.3399616,-2.2501,0.0248,1
"1131","RTN4RL1","OK","groupNormal",-1.532399,0.6692731,-2.2896,0.0224,1
"1132","ZZEF1","OK","groupNormal",0.6900602,0.2999829,2.3003,0.0218,1
"1133","PSMB6","OK","groupNormal",-0.3190583,0.15601,-2.0451,0.0413,1
"1134","SPAG7","OK","groupNormal",-0.5959356,0.2793938,-2.133,0.0334,1
"1135","XAF1","OK","groupNormal",-0.5099479,0.1568498,-3.2512,0.00122,1
"1136","CD68","OK","groupNormal",-1.365345,0.6460306,-2.1134,0.035,1
"1137","PER1","OK","groupNormal",0.3841694,0.160518,2.3933,0.017,1
"1138","RPL26","OK","groupNormal",0.1705825,0.0613089,2.7823,0.00558,1
"1139","SNORD3A","OK","groupNormal",1.790236,0.750248,2.3862,0.0174,1
"1140","EPN2","OK","groupNormal",0.4163644,0.2026309,2.0548,0.0404,1
"1141","USP22","OK","groupNormal",0.5405934,0.2317281,2.3329,0.02,1
"1142","KSR1","OK","groupNormal",1.102755,0.4292509,2.569,0.0105,1
"1143","TRAF4","OK","groupNormal",1.404114,0.704193,1.9939,0.0466,1
"1144","ERAL1","OK","groupNormal",-1.324102,0.6080235,-2.1777,0.0298,1
"1145","CCL2","OK","groupNormal",-0.5627027,0.2466874,-2.281,0.0229,1
"1146","SLFN12","OK","groupNormal",-1.205496,0.4178237,-2.8852,0.00406,1
"1147","CCL23","OK","groupNormal",2.06217,0.751976,2.7423,0.00629,1
"1148","AATF","OK","groupNormal",0.850229,0.4305602,1.9747,0.0488,1
"1149","RPL23","OK","groupNormal",0.1620693,0.0643681,2.5179,0.0121,1
"1150","RPL19","OK","groupNormal",0.1862023,0.0560609,3.3214,0.000953,1
"1151","CDK12","OK","groupNormal",-0.4014387,0.1957111,-2.0512,0.0407,1
"1152","CSF3","OK","groupNormal",1.315677,0.4341148,3.0307,0.00255,1
"1153","THRA","OK","groupNormal",1.279411,0.624258,2.0495,0.0409,1
"1154","IGFBP4","OK","groupNormal",0.1254389,0.0498535,2.5161,0.0121,1
"1155","KRT27","OK","groupNormal",-2.879472,1.0779479,-2.6713,0.00777,1
"1156","TMEM99","OK","groupNormal",-1.136503,0.4322296,-2.6294,0.00879,1
"1157","EIF1","OK","groupNormal",0.1752087,0.0487703,3.5925,0.000356,1
"1158","KAT2A","OK","groupNormal",-0.9823525,0.3862427,-2.5434,0.0112,1
"1159","RAMP2","OK","groupNormal",-0.3707222,0.0896664,-4.1345,4.1e-05,1
"1160","AOC3","OK","groupNormal",-2.656329,1.1463639,-2.3172,0.0208,1
"1161","RPL27","OK","groupNormal",0.1533636,0.0736231,2.0831,0.0377,1
"1162","DHX8","OK","groupNormal",0.9429384,0.4792365,1.9676,0.0496,1
"1163","SOST","OK","groupNormal",-1.424185,0.5229885,-2.7232,0.00666,1
"1164","CD300LG","OK","groupNormal",1.369023,0.6048105,2.2636,0.024,1
"1165","ASB16.AS1","OK","groupNormal",-2.186325,1.091581,-2.0029,0.0457,1
"1166","UBTF","OK","groupNormal",-0.5768874,0.2236923,-2.5789,0.0102,1
"1167","GJC1","OK","groupNormal",-1.00767,0.4597992,-2.1915,0.0288,1
"1168","ARL17A","OK","groupNormal",1.988062,0.9733021,2.0426,0.0416,1
"1169","ABI3","OK","groupNormal",-0.6569301,0.2697427,-2.4354,0.0152,1
"1170","ITGA3","OK","groupNormal",-0.9823525,0.3653646,-2.6887,0.00738,1
"1171","TOB1","OK","groupNormal",-0.3600796,0.1541662,-2.3357,0.0199,1
"1172","MMD","OK","groupNormal",1.588076,0.5581315,2.8453,0.0046,1
"1173","PCTP","OK","groupNormal",1.177132,0.4765743,2.47,0.0138,1
"1174","DGKE","OK","groupNormal",-0.3624775,0.1761422,-2.0579,0.0401,1
"1175","TRIM37","OK","groupNormal",-2.043224,0.6503261,-3.1418,0.00177,1
"1176","PRR11","OK","groupNormal",-1.87617,0.7446311,-2.5196,0.012,1
"1177","CA4","OK","groupNormal",0.2434728,0.0586208,4.1534,3.78e-05,1
"1178","METTL2A","OK","groupNormal",-1.403566,0.5728114,-2.4503,0.0146,1
"1179","ACE","OK","groupNormal",-1.493178,0.6660558,-2.2418,0.0254,1
"1180","CD79B","OK","groupNormal",-0.9023098,0.3151762,-2.8629,0.00435,1
"1181","POLG2","OK","groupNormal",-0.4828584,0.1988283,-2.4285,0.0155,1
"1182","PRKCA","OK","groupNormal",0.8300263,0.3555503,2.3345,0.0199,1
"1183","ARSG","OK","groupNormal",0.7883536,0.3977275,1.9821,0.0479,1
"1184","SLC16A6","OK","groupNormal",1.010078,0.2940161,3.4355,0.000635,1
"1185","AC079210.1","OK","groupNormal",-1.557717,0.5581562,-2.7908,0.00543,1
"1186","KCNJ2","OK","groupNormal",1.502554,0.5494966,2.7344,0.00644,1
"1187","RPL38","OK","groupNormal",0.2637243,0.0649513,4.0603,5.59e-05,1
"1188","GGA3","OK","groupNormal",-0.9023098,0.4348533,-2.075,0.0384,1
"1189","CASKIN2","OK","groupNormal",-0.3008624,0.1185985,-2.5368,0.0115,1
"1190","H3F3B","OK","groupNormal",0.1104515,0.0491096,2.2491,0.0249,1
"1191","UBALD2","OK","groupNormal",0.3692563,0.171326,2.1553,0.0316,1
"1192","SEC14L1","OK","groupNormal",0.1647447,0.0682854,2.4126,0.0162,1
"1193","SOCS3","OK","groupNormal",0.3073849,0.0816625,3.7641,0.000185,1
"1194","CBX4","OK","groupNormal",0.5019223,0.242019,2.0739,0.0385,1
"1195","MRPL12","OK","groupNormal",1.052353,0.5298874,1.986,0.0475,1
"1196","ARHGDIA","OK","groupNormal",0.3045694,0.1294929,2.352,0.019,1
"1197","SLC16A3","OK","groupNormal",0.6481388,0.1962139,3.3032,0.00102,1
"1198","AP005530.2","OK","groupNormal",1.392553,0.6245465,2.2297,0.0262,1
"1199","METTL4","OK","groupNormal",-1.00767,0.3942691,-2.5558,0.0109,1
"1200","SMCHD1","OK","groupNormal",-0.5768874,0.1629709,-3.5398,0.000433,1
"1201","PTPRM","OK","groupNormal",0.2560217,0.1186266,2.1582,0.0313,1
"1202","LDLRAD4","OK","groupNormal",-0.7679426,0.3659405,-2.0985,0.0363,1
"1203","ROCK1","OK","groupNormal",-0.2614484,0.1234274,-2.1182,0.0346,1
"1204","MIB1","OK","groupNormal",-0.4476756,0.2095771,-2.1361,0.0331,1
"1205","NPC1","OK","groupNormal",0.8007489,0.2692606,2.9739,0.00307,1
"1206","RPL17","OK","groupNormal",0.6716651,0.1689407,3.9757,7.92e-05,1
"1207","CCDC68","OK","groupNormal",-0.3784364,0.1456022,-2.5991,0.00959,1
"1208","ATP8B1","OK","groupNormal",-0.4073281,0.163946,-2.4845,0.0133,1
"1209","ZNF407","OK","groupNormal",-0.6435787,0.3078426,-2.0906,0.037,1
"1210","SLC52A3","OK","groupNormal",-1.740038,0.6196557,-2.8081,0.00516,1
"1211","SDCBP2","OK","groupNormal",0.8700316,0.3664875,2.374,0.0179,1
"1212","CDC25B","OK","groupNormal",-0.7060991,0.3195216,-2.2099,0.0275,1
"1213","AP5S1","OK","groupNormal",-1.424185,0.5943959,-2.396,0.0169,1
"1214","TMEM230","OK","groupNormal",-0.4294346,0.1676869,-2.5609,0.0107,1
"1215","BMP2","OK","groupNormal",0.8939644,0.323783,2.761,0.00595,1
"1216","PLCB1","OK","groupNormal",-0.835749,0.2611414,-3.2004,0.00145,1
"1217","JAG1","OK","groupNormal",-0.5162628,0.1489529,-3.4659,0.000568,1
"1218","BFSP1","OK","groupNormal",-1.164674,0.5717823,-2.0369,0.0421,1
"1219","SNX5","OK","groupNormal",-0.7898094,0.206309,-3.8283,0.000143,1
"1220","RIN2","OK","groupNormal",-0.3797193,0.1890757,-2.0083,0.0451,1
"1221","CRNKL1","OK","groupNormal",0.8444983,0.4067915,2.076,0.0383,1
"1222","THBD","OK","groupNormal",-0.2392449,0.101502,-2.357,0.0188,1
"1223","CD93","OK","groupNormal",0.4051547,0.1307986,3.0975,0.00205,1
"1224","CST3","OK","groupNormal",-0.2925442,0.1054903,-2.7732,0.0057,1
"1225","CHMP4B","OK","groupNormal",0.6947441,0.228076,3.0461,0.00243,1
"1226","AHCY","OK","groupNormal",1.404114,0.7048345,1.9921,0.0468,1
"1227","MAP1LC3A","OK","groupNormal",-0.5768874,0.2623377,-2.199,0.0283,1
"1228","GSS","OK","groupNormal",-0.7881965,0.380868,-2.0695,0.039,1
"1229","SCAND1","OK","groupNormal",0.3919657,0.1891781,2.0719,0.0387,1
"1230","PLCG1","OK","groupNormal",-0.510638,0.204996,-2.491,0.013,1
"1231","LPIN3","OK","groupNormal",-1.087713,0.4801031,-2.2656,0.0239,1
"1232","SRSF6","OK","groupNormal",0.3721932,0.1855578,2.0058,0.0454,1
"1233","PCIF1","OK","groupNormal",1.758487,0.7258431,2.4227,0.0157,1
"1234","SULF2","OK","groupNormal",0.438919,0.1074404,4.0852,5.04e-05,1
"1235","ZFAS1","OK","groupNormal",0.3428457,0.1292561,2.6525,0.00821,1
"1236","B4GALT5","OK","groupNormal",0.5522616,0.2028494,2.7225,0.00668,1
"1237","UBE2V1","OK","groupNormal",1.620337,0.6363825,2.5462,0.0112,1
"1238","PTPN1","OK","groupNormal",0.6758756,0.1926357,3.5086,0.000486,1
"1239","TSHZ2","OK","groupNormal",-1.729567,0.6202137,-2.7887,0.00547,1
