"","geneid","M_1029_T1_Negative","M_1029_T2_Negative","M_1029_T1_Positive","M_1029_T2_Positive"
"21329","Nbeal2","7795","8714","5647","9965"
"21330","Ccdc12","916","1173","694","1700"
"21331","Pth1r","803","348","745","169"
"21332","Myl3","0","0","0","0"
"21333","Prss42","2","4","1","0"
"21334","Prss44","0","1","0","0"
"21335","Prss43","0","0","0","0"
"21336","Prss45","0","0","0","0"
"21337","Prss46","0","0","0","0"
"21338","Prss50","0","0","0","0"
"21339","Tmie","4","8","64","13"
"21340","Als2cl","725","791","633","978"
"21341","Gm590","0","0","0","0"
"21342","Tdgf1","0","1","0","0"
"21343","Lrrc2","63","98","42","134"
"21344","Rtp3","43","53","38","76"
"21345","Ltf","49","40","31","71"
"21346","Ccrl2","824","966","496","983"
"21347","Lrrfip2","705","602","397","824"
"21348","Mlh1","205","431","247","497"
"21349","Epm2aip1","429","496","392","967"
"21350","Trank1","0","1","0","0"
"21351","Dclk3","68","37","71","0"
"21352","Stac","3","4","0","0"
"21353","Arpp21","0","4","0","0"
"21354","Mir128-2","0","0","0","0"
"21355","2900079G21Rik","0","0","0","0"
"21356","Pdcd6ip","3774","4675","3138","6324"
"21357","Clasp2","2000","2463","1756","3432"
"21358","Ubp1","2373","2608","2008","4034"
"21359","Fbxl2","28","36","23","39"
"21360","Susd5","0","0","0","0"
"21361","Bcl2a1c","24","8","8","46"
"21362","Crtap","284","365","333","509"
"21363","Tmppe","1012","1264","887","1643"
"21364","Glb1","675","1024","659","1461"
"21365","Ccr4","5","5","6","7"
"21366","Trim71","0","0","0","0"
"21367","Cnot10","553","724","563","999"
"21368","Dync1li1","748","790","549","1035"
"21369","Cmtm6","3968","4791","3763","7117"
"21370","Cmtm7","1379","1679","1321","2053"
"21371","Cmtm8","15","25","34","42"
"21372","Gpd1l","898","1023","641","1570"
"21373","Osbpl10","24","22","67","74"
"21374","Stt3b","1688","1957","1400","2486"
"21375","Stmn1-rs1","2","0","11","0"
"21376","Gadl1","1","1","1","25"
"21377","Tgfbr2","10182","13168","11229","21550"
"21378","Rbms3","19","13","0","43"
"21379","Azi2","1182","1327","962","1886"
"21380","Cmc1","172","172","127","163"
"21381","Eomes","1","7","0","4"
"21382","Golga4","2110","2207","1679","2735"
"21383","Itga9","8993","10991","8419","16471"
"21384","Ctdspl","200","82","71","137"
"21385","Mir26a-1","0","0","0","0"
"21386","Vill","361","404","376","486"
"21387","Plcd1","47","45","43","70"
"21388","Dlec1","63","41","67","46"
"21389","Acaa1b","758","110","605","204"
"21390","Slc22a14","0","0","0","0"
"21391","Slc22a13","125","3","0","0"
"21392","9330176C04Rik","7","3","0","17"
"21393","Oxsr1","321","541","363","635"
"21394","Myd88","1713","2107","1265","2648"
"21395","Acaa1a","900","846","665","1066"
"21396","Xylb","779","397","655","298"
"21397","Acvr2b","158","164","126","279"
"21398","Exog","231","186","162","257"
"21399","Scn5a","0","0","0","0"
"21400","Scn10a","0","0","0","0"
"21401","Scn11a","0","0","4","0"
"21402","Wdr48","823","898","738","1375"
"21403","Gorasp1","535","404","272","542"
"21404","Ttc21a","18","0","13","1"
"21405","Csrnp1","713","723","513","863"
"21406","Xirp1","3","18","4","27"
"21407","Cx3cr1","7975","9368","7552","13989"
"21408","Ccr8","0","0","0","0"
"21409","Slc25a38","644","709","457","849"
"21410","Rpsa","13939","16918","11068","19986"
"21411","Snora62","0","0","0","0"
"21412","Mobp","1","3","1","11"
"21413","Myrip","0","6","0","0"
"21414","Eif1b","514","610","483","790"
"21415","Entpd3","4","0","1","0"
"21416","Rpl14","5723","6902","4546","8145"
"21417","Ctnnb1","3665","4139","2904","5385"
"21418","Ulk4","15","24","25","20"
"21419","Trak1","1695","2160","1399","3033"
"21420","Cck","0","0","11","5"
"21421","Lyzl4","0","3","10","4"
"21422","Vipr1","216","239","115","199"
"21423","Sec22c","159","208","210","282"
"21424","Deb1","21","56","34","101"
"21425","Nktr","2159","2616","1932","3599"
"21426","E530011L22Rik","17","29","12","28"
"21427","Zfp651","8","16","36","13"
"21428","Kbtbd5","0","0","0","0"
"21429","Hhatl","0","0","0","19"
"21430","Ccdc13","0","0","2","0"
"21431","Higd1a","140","144","151","213"
"21432","Gm9790","118","116","94","176"
"21433","Ccbp2","11","8","6","0"
"21434","Cyp8b1","17","3","0","10"
"21435","1700048O20Rik","16","43","56","43"
"21436","Fam198a","0","5","0","10"
"21437","C85492","14","20","26","21"
"21438","Snrk","862","1078","898","1807"
"21439","Ano10","304","406","378","612"
"21440","Abhd5","196","251","133","310"
"21441","9530059O14Rik","0","0","0","0"
"21442","Mir138-1","0","0","0","0"
"21443","Gm9524","0","0","0","0"
"21444","D9Ertd402e","111","143","106","239"
"21445","Zfp445","2322","2527","1641","3551"
"21446","Zfp167","121","70","111","190"
"21447","Zfp105","53","60","52","106"
"21448","1110059G10Rik","157","253","90","235"
"21449","Kif15","184","200","85","215"
"21450","Tmem42","106","87","43","132"
"21451","Tgm4","67","99","41","183"
"21452","Zdhhc3","637","798","572","983"
"21453","Exosc7","229","228","189","206"
"21454","Clec3b","0","0","0","0"
"21455","Cdcp1","28","16","40","78"
"21456","Tmem158","9","15","0","10"
"21457","Lars2","2182","11099","2107","6765"
"21458","Limd1","3325","3754","2537","4883"
"21459","Sacm1l","911","1141","696","1082"
"21460","Slc6a20b","267","68","254","82"
"21461","Slc6a20a","19","11","24","5"
"21462","Lztfl1","127","125","135","226"
"21463","Ccr9","25","15","17","14"
"21464","Fyco1","1636","1745","1244","2747"
"21465","Cxcr6","24","27","2","26"
"21466","Xcr1","155","136","63","269"
"21467","Cdkn2d","0","0","0","0"
"21468","Ccr1","282","356","148","284"
"21469","Ccr1l1","8","6","3","22"
"21470","Ccr3","6","24","4","9"
"21471","Ccr2","16994","20639","8803","18449"
"21472","Ccr5","4420","5286","5184","9805"
"21473","Ppp2r3d","1133","1409","931","2014"
"21474","4930526I15Rik","254","350","233","314"
"21475","Nlrp4g","0","0","0","0"
"21476","Jrkl","336","433","322","626"
"21477","Ccdc82","3995","4908","3250","7091"
"21478","Tcstv3","0","0","2","0"
"21479","BC147527","419","651","403","743"
"21480","Tcstv1","0","0","0","0"
"21481","AF067063","0","0","0","7"
"21482","BC085271","0","0","0","0"
"21483","Ccl21c","0","0","0","0"
"21484","Ccl21b","0","0","0","0"
"21485","Gm13304","0","0","0","0"
"21486","Gm10591","0","0","0","0"
"21487","4933409K07Rik","0","0","0","0"
"21488","Gm13298","0","0","0","0"
"21489","Gm13308","0","0","0","0"
"21490","Ccl21c","0","0","0","0"
"21491","Ccl21b","0","0","0","0"
"21492","Gm13304","0","0","0","0"
"21493","Gm10591","0","0","0","0"
"21494","AU018829","0","0","0","0"
"21495","Gm16367","0","0","0","0"
"21496","Gm16367","0","0","0","0"
"21497","AU018829","0","0","0","0"
"21498","Gm16367","0","0","0","0"
"21499","A430089I19Rik","0","0","0","0"
"21500","Gm3286","0","0","0","0"
"21501","E330014E10Rik","0","0","0","0"
"21502","BC061212","0","0","0","0"
"21503","AU018829","0","0","0","0"
"21504","Gm16367","0","0","0","0"
"21505","Spt1","0","0","0","0"
"21506","Vmn2r-ps159","0","0","0","0"
"21507","Vmn2r123","0","0","0","0"
"21508","B020031M17Rik","0","0","0","0"
"21509","Ulbp1","71","127","82","187"
"21510","Mucl1","0","0","0","0"
