"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000033545.14","Znrf1",188,288,176,1073.001,1600,543,-1.25308660269474,1.53073214983881,0.557528809652291,1
"ENSMUSG00000033554.17","Dph5",53,21,16,86,138,51,-1.8634753127453,-0.47998588369484,0.55757922108821,1
"ENSMUSG00000033557.17","Fam20b",140,200,113,553,894,207,-0.890839274989036,2.09453226705307,0.55762156603963,1
"ENSMUSG00000033565.18","Rbfox2",37,34,15,63,174,61,0.210013606327469,5.65501086499887,0.557818980269531,1
"ENSMUSG00000033569.17","Adgrb3",6,11,4,18,21,22,1.23756752892581,0.116313935172191,0.557823519278364,1
"ENSMUSG00000033576.12","Apol6",12,2,16,0,0,15,-1.7887523753768,0.373117928368674,0.557849789130183,1
"ENSMUSG00000033577.18","Myo6",27,126,48,198,418,82,-0.34584742827134,3.44675655497499,0.557921086218695,1
"ENSMUSG00000033581.17","Igf2bp2",42,34,23,135,242,35,-0.136905394262814,6.24747207273344,0.55793888995372,1
"ENSMUSG00000033585.5","Ndn",0,3,17,0,0,0,0.137619747006142,6.73888254113846,0.557990422799075,1
"ENSMUSG00000033589.4","Reep4",45,54,13,94,286,90,-0.128324869631704,7.03265822690822,0.557995989405987,1
"ENSMUSG00000033590.8","Myo5c",3,9,0,0,1,0,-1.74995819929082,-0.364707132805311,0.558071246406658,1
"ENSMUSG00000033594.11","Spata2l",35,24,19,37,136,39,-1.74995819929082,-0.364707132805311,0.558071246406658,1
"ENSMUSG00000033596.5","Rfwd3",134,224,110,381,781.93,226,-1.74995819929082,-0.364707132805311,0.558071246406658,1
"ENSMUSG00000033597.9","Caskin1",11,12,3,78,66,48,1.55341731921505,0.706075386959757,0.558076578601078,1
"ENSMUSG00000033610.16","Pank1",9,45,0,50,103,43.999,0.15414941295838,6.34503802038771,0.558309416871832,1
"ENSMUSG00000033618.7","Map3k13",7,18,5,56.875,48,16,-1.67405561920902,-0.121091010926492,0.55831684780568,1
"ENSMUSG00000033623.13","Pcgf3",97,82,53,86,371,91,-0.146922407572043,5.82539995359862,0.558443500825643,1
"ENSMUSG00000033624.10","Pdpr",51,99,31,185,341,58,0.227797539773847,4.45460307986982,0.558560973297294,1
"ENSMUSG00000033628.15","Pik3c3",76,142,75,277,506,127,-0.133687965082343,8.44754546036915,0.558596712037307,1
"ENSMUSG00000033629.6","Hacd3",116,201,107,332,1014,206,1.17648910375879,1.29974741862031,0.558625195410428,1
"ENSMUSG00000033632.16","AW554918",34,56,35,176,228,75,1.47598794072474,0.384595480969065,0.558666083473582,1
"ENSMUSG00000033644.5","Piwil2",0,12,0,21,30,4,-1.10673428412387,1.85497704805813,0.558728443469603,1
"ENSMUSG00000033653.18","Vps8",77,166.999,55,330,681,136.999,1.34278890534133,1.16362797117124,0.55874954200526,1
"ENSMUSG00000033658.16","Ddx19b",61.445,108.89,35.552,190.573,454.104,103.022,-0.403927629976547,3.08894252166941,0.55875424495978,1
"ENSMUSG00000033669.8","Zfp7",19,10,1,23,36,40,0.154202906860831,6.55818669691931,0.55879189483559,1
