"","geneid_symbol","CTX_14A2","CTX_14A4","CTX_14A5","CTX_14L1","CTX_14L2","CTX_14L3","CTX_3A2","CTX_3A3","CTX_3A4","CTX_3L2","CTX_3L3","CTX_Naive1","CTX_Naive2","CTX_Naive3"
"ENSMUSG00000003518.13","Dusp3",49.606062,51.001335,45.400298,37.240945,41.211699,52.880066,71.820385,56.743329,40.929878,73.100603,43.040262,34.476178,30.790767,30.789644
"ENSMUSG00000003526.12","Prodh",7.073155,2.820977,5.250893,4.824577,7.558287,9.839927,4.695822,9.176173,4.709964,4.20618,4.014514,5.740841,7.440066,8.246134
"ENSMUSG00000003527.9","Ess2",24.819496,14.990262,19.946744,26.789396,9.478101,17.097951,23.83463,23.459982,17.77144,19.688304,21.0855,27.693717,29.597873,12.99436
"ENSMUSG00000003528.15","Slc25a1",40.198385,34.318413,40.539013,37.418003,42.358,35.92574,30.524574,32.349238,37.66453,42.289595,26.293141,35.897257,44.498699,32.016725
"ENSMUSG00000003531.15","Dgcr6",12.593268,6.480922,6.953438,19.271456,14.098662,8.384508,6.247679,10.727439,8.421214,8.848662,11.455534,18.751505,16.537052,10.782574
"ENSMUSG00000003534.17","Ddr1",0.0562,0.079499,1.525668,2.480992,0,0,0.503259,0,0,0.051897,0,0,0.49129,1.035904
"ENSMUSG00000003541.6","Ier3",933.062498,582.802252,907.074629,868.02941,1075.703816,993.104026,548.906499,895.348178,774.198706,1037.596208,904.051622,1036.476934,714.740161,743.525732
"ENSMUSG00000003545.3","Fosb",2787.61793,2119.390855,2045.220208,1765.519719,2671.738282,1890.696229,2456.350366,3050.847145,1978.547678,1641.784427,1409.620347,1996.179995,1614.612407,1902.059484
"ENSMUSG00000003546.10","Klc4",37.293159,24.697931,30.721357,42.791201,28.275257,26.680437,20.305247,26.709166,34.746055,25.208644,28.964079,39.942669,36.615714,31.742095
"ENSMUSG00000003549.9","Ercc1",18.974267,15.050121,27.8787,28.176736,48.077633,21.966665,31.078686,21.758964,26.80414,16.767463,23.319137,11.830618,42.790201,18.46117
"ENSMUSG00000003555.8","Cyp17a1",0.116871,0.431945,6.594166,0,0,0.828405,2.626556,0.514303,0.494462,0.108056,2.152158,1.008445,0.304005,0.801674
"ENSMUSG00000003559.8","As3mt",38.811936,28.483076,31.846245,59.605979,53.208243,24.581789,30.19425,27.913397,31.911031,35.894386,35.101867,34.460652,24.401018,33.85266
"ENSMUSG00000003573.15","Homer3",50.116295,35.299115,29.988999,59.50461,45.608796,22.833224,19.414863,26.781383,44.255913,30.178034,18.042937,24.518273,74.476992,21.863772
"ENSMUSG00000003575.13","Crtc1",14.952097,14.216695,11.172765,12.570717,10.557915,13.707696,14.023924,14.825913,20.583114,14.756928,13.168446,11.615092,18.97201,11.398715
"ENSMUSG00000003581.14","Rnf215",67.925403,47.084479,46.568672,69.095046,41.722716,56.691807,49.404557,57.007973,58.147408,56.795253,49.133879,71.562625,73.015346,38.862295
"ENSMUSG00000003585.13","Sec14l2",9.032427,12.205498,16.420292,7.953126,6.68999,9.595783,12.947925,8.154669,9.438928,13.945377,8.963976,11.477255,12.549566,10.880398
"ENSMUSG00000003604.14","Aven",9.255285,14.261106,2.747861,6.437785,8.77342,8.009295,6.453963,11.11251,9.657253,5.120737,7.560279,16.839765,9.951349,2.353667
"ENSMUSG00000003617.16","Cp",0.33871,2.479368,3.587675,1.105003,0.940331,1.426708,1.315314,2.398932,4.396063,0.313709,1.576341,1.15949,1.412979,8.031986
"ENSMUSG00000003623.4","Crot",31.542486,25.925117,26.527007,36.938705,34.217386,27.409044,39.390671,33.325672,35.289396,37.590727,36.969629,32.420787,38.037623,28.266664
"ENSMUSG00000003644.17","Rps6ka1",430.930759,330.315496,370.981204,501.127673,352.618641,358.077257,346.607382,339.584273,469.751431,393.035447,344.919655,418.111114,532.380455,315.027697
"ENSMUSG00000003657.9","Calb2",0,0.153143,1.192418,0,0,0,0,0,1.233339,0,0,0,0,0.982638
"ENSMUSG00000003660.10","Snrnp200",46.851691,38.467631,36.720559,45.437911,45.840642,35.797996,42.83499,50.268984,58.932353,47.297476,37.237324,43.032587,45.099943,35.572624
"ENSMUSG00000003662.10","Ciao1",42.683719,34.482232,31.740154,52.427074,40.694448,30.496608,26.914912,28.645676,51.467624,49.298256,61.949213,29.713546,51.027698,34.647045
"ENSMUSG00000003665.7","Has1",0,0.326149,1.594898,0,0,0.235946,0.225023,0,0.765844,0.184647,0.409974,0,0,0
"ENSMUSG00000003680.16","Taf6l",20.147147,17.532698,17.100901,27.999221,14.119314,17.573951,18.520784,21.253939,16.348003,18.972962,21.316686,14.311384,17.335061,19.662213
"ENSMUSG00000003721.14","Insig2",28.418635,17.308925,20.868233,38.688074,16.892181,19.202678,16.214819,24.272771,34.526117,29.091262,33.657113,38.612508,41.677673,14.701743
"ENSMUSG00000003731.13","Kpna6",24.283219,18.961311,27.001103,23.350401,18.883878,23.440943,23.935546,26.092165,26.798585,27.157554,20.920316,22.460164,39.508668,19.018058
"ENSMUSG00000003746.16","Man1a",137.889178,131.292455,110.891793,110.012185,123.550743,127.243698,158.599126,162.889917,127.560574,121.878312,119.093032,172.782721,138.915371,126.525352
"ENSMUSG00000003752.9","Itpkc",53.269667,135.405176,109.261925,23.814862,142.617246,106.445056,99.534237,95.195383,64.87626,87.578754,75.634865,68.701347,30.105317,99.39995
"ENSMUSG00000003762.13","Coq8b",31.488853,21.885631,28.026914,25.407409,32.385908,24.598406,28.826496,25.351161,25.430503,19.185732,24.466361,27.630223,33.999808,22.721962
