"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_14A1","PVN_14A2","PVN_14A3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000041134.15","Cyyr1",0,6,17,18,0,26,-0.132072075902469,6.96389704290897,0.660548346937651,1
"ENSMUSG00000041135.15","Ripk2",108,144,57,165,17,93,0.995543007647458,1.17245325135174,0.660715616440494,1
"ENSMUSG00000041141.7","Pnmal1",0,6,14,3,0,5,1.00522726797412,1.1850659054026,0.6607727744418,1
"ENSMUSG00000041143.16","Tmco4",44,58,20,94,8,37,0.940971086303796,1.15986514297233,0.660846466920858,1
"ENSMUSG00000041144.12","Dnah7b",7,10,4,19.36,0,13.003,-0.552155336974875,2.66833729076266,0.660895581946296,1
"ENSMUSG00000041147.10","Brca2",50.999,32.999,9,78,7,32,0.170554866311825,6.35924224084681,0.660902430960523,1
"ENSMUSG00000041153.9","Osgin2",19,40,47,57,5,45,-0.100442524599882,5.25142478783625,0.660982651505875,1
"ENSMUSG00000041161.8","Otud3",49,29,20,41,3,18,0.242585074679537,4.54306895466663,0.661019559710845,1
"ENSMUSG00000041164.15","Zmiz2",273,416,221,440.999,36,212,0.137242644487342,6.37568845397388,0.661032246892247,1
"ENSMUSG00000041168.10","Lonp1",179,176,100,262,17,124,0.132347296146389,7.18366962391413,0.661038068936215,1
"ENSMUSG00000041180.13","Hectd2",20,15,2,39,6,10,0.142865152444385,6.26477780859669,0.661138432539847,1
"ENSMUSG00000041187.16","Prkd2",69,67,63,120,7,81,1.02411570735274,1.15772210013566,0.661156756553145,1
"ENSMUSG00000041189.9","Chrnb1",7,11,8,12,0,5,0.138102938812418,8.57239001747839,0.661225748424234,1
"ENSMUSG00000041199.3","Rpusd1",0,14,8,16,0,13,-0.144886086204404,5.09642982707757,0.661254825659233,1
"ENSMUSG00000041202.12","Pla2g2d",10,0,0,13,10,5,1.16052075866895,1.1327956126581,0.661484137114101,1
"ENSMUSG00000041203.9","Trir",117,187,68,296,22,157,-0.372249115572844,3.02632696659047,0.661543648163292,1
"ENSMUSG00000041215.16","Yeats2",158,129,68,155.999,26,99,-0.146664001499004,7.20413879983608,0.661653469950685,1
"ENSMUSG00000041216.15","Clvs1",76,113,38,126,11,71,0.140120329067362,6.66390071082456,0.661662098215674,1
"ENSMUSG00000041219.14","Arhgap11a",146,159,75,259,16,130,-0.111635844255865,7.02700756667851,0.661768748252422,1
"ENSMUSG00000041220.10","Elovl6",9,8,6,7,0,18,-0.131950933543583,7.44167664804005,0.661850039364004,1
"ENSMUSG00000041225.16","Arhgap12",381,516.001,251,394,69,292.001,-0.132261782421509,7.85005175736787,0.661926221102545,1
"ENSMUSG00000041229.15","Phf8",126,148.999,44,198,25,72,-0.25151499049054,4.42232399212491,0.66196586540791,1
"ENSMUSG00000041231.15","Ublcp1",17,98,15,98,13,59,0.994216700416855,1.1525503794363,0.661987678310607,1
"ENSMUSG00000041235.12","Chd7",706,1043.999,564,1311,118,802,0.715119625943599,0.802936771804104,0.661987750565576,1
"ENSMUSG00000041236.8","Vps41",195,234,99,187,11,112,0.169334668541713,5.25376981190378,0.662037165550453,1
"ENSMUSG00000041238.16","Rbbp8",55,54.001,63,131.999,8,55,0.194739162628318,5.00562461708276,0.662039218267088,1
"ENSMUSG00000041241.12","Mul1",72,174,35,209,14,114,0.366752040690427,3.43868868988688,0.662090125112853,1
"ENSMUSG00000041245.13","Wnk3",23,10,0,3,0,12,-0.145193294533769,6.93029942883244,0.662092670532421,1
"ENSMUSG00000041247.8","Lamp3",0,2,0,6,0,2,-0.238386251785144,4.89626031925928,0.662113203184049,1
"ENSMUSG00000041248.9","Kcnj1",5,3,2,12,0,5,-0.65251266301382,1.09551102219583,0.662116495025182,1
"ENSMUSG00000041258.18","Zfp236",228,428,165,488,67,230,-0.132048063885654,5.71716857552346,0.662119358081689,1
"ENSMUSG00000041263.14","Rusc1",78,42,33,71,10,50,1.05713316380622,1.10318526095554,0.662128709188764,1
"ENSMUSG00000041264.16","Uspl1",67,132.999,45,120,13,99,1.22364031862319,1.088578388132,0.662152287509619,1
"ENSMUSG00000041268.17","Dmxl2",123,142,102,205,12,79,-0.650601117567232,1.05851523726574,0.662206094529105,1
"ENSMUSG00000041278.10","Ttc1",46,85,41,109,15,64,-0.245985120508983,4.55067024541098,0.662270869415533,1
"ENSMUSG00000041287.5","Sox15",0,4,1,4,0,2,-0.690061606795294,1.10004549976144,0.662276693670386,1
"ENSMUSG00000041293.5","Adgrf1",9,1,0,0,0,0,0.267095718409558,4.15564686880465,0.662277759125449,1
"ENSMUSG00000041297.8","Cdk13",270,605.001,328.999,590,81,331,0.196195525111012,4.53640620996984,0.662294787167526,1
"ENSMUSG00000041298.15","Katnal1",56,101,36,90,10,56,-0.808765015112955,1.11450454461778,0.662359335484264,1
"ENSMUSG00000041301.15","Cftr",0,2,0,19,0,8,-0.792449338179019,1.07611773321872,0.662418060243663,1
"ENSMUSG00000041303.7","Gtf3c3",18,47,67,66,8,35,-0.74770135414579,1.08100303840225,0.662456960034893,1
"ENSMUSG00000041308.6","Sntb2",72,65,45,140,10,38,-0.793806599845224,1.09896345390034,0.662472527771516,1
"ENSMUSG00000041313.14","Slc7a1",84,150,57,280,50,75,-0.812890621408348,1.06474663429576,0.662504139901221,1
"ENSMUSG00000041319.14","Thoc6",13,59,62,79,7,56,1.14454027114144,1.09500499081331,0.662595491461165,1
"ENSMUSG00000041323.6","Ak7",0,2,0,1,0,3,-0.756751031633619,1.04936670349983,0.662664829023569,1
"ENSMUSG00000041324.14","Inhba",6,3,6,43,2,2,0.530282827843953,2.50425333241256,0.662758343023843,1
"ENSMUSG00000041328.16","Pcf11",538.001,2387,938.999,3059,391.999,1053,1.16711494060687,1.11434829567638,0.662779709673756,1
"ENSMUSG00000041329.13","Atp1b2",9,23,14,18,0,7,1.22002206109395,1.08893606331208,0.662900710332119,1
"ENSMUSG00000041341.10","Atg2b",152.001,252,113,215,29,165.999,0.968025479202568,1.0849572039814,0.662937547339905,1
"ENSMUSG00000041343.19","Ankrd42",18,21,3,20,0,4,0.19211569380022,4.54817290097917,0.662961302075275,1
"ENSMUSG00000041346.11","Wrap53",14,29,22,28,2,22,0.131053426174494,8.5609463185549,0.663062537438444,1
"ENSMUSG00000041351.16","Rap1gap",21,14,3,10,0,7,1.06258550262121,1.07818349192021,0.663112010653708,1
"ENSMUSG00000041353.12","Tmem29",0,4,11,21,0,11,0.149768729053515,5.33737663863052,0.663194766093978,1
"ENSMUSG00000041354.16","Rgl2",808.999,859,534,904,87,684.001,-0.534091686995326,1.83665555347388,0.663209617322234,1
"ENSMUSG00000041355.13","Ssr2",61,121,61,120,8,114,-0.232406083402611,4.43344209876967,0.663313920576763,1
"ENSMUSG00000041358.1","Nutm1",6,5,13,4,5,5,-0.127332306072311,5.53922819364675,0.663321989439736,1
"ENSMUSG00000041359.14","Tcl1",0,1,0,2,0,1,0.60163100871198,2.11697474859477,0.663326239709902,1
"ENSMUSG00000041360.8","Pum3",45,103,27,124,2,82.999,-0.131285152357124,9.85009342591114,0.663347205728076,1
"ENSMUSG00000041362.17","Shtn1",21,21,17,16,0,7,0.122617543548055,5.79807701239143,0.663437529027622,1
"ENSMUSG00000041375.18","Ccdc9",158.999,261.002,112.999,387.999,29,176.999,-0.619563372803644,1.53673334104548,0.663438274893761,1
"ENSMUSG00000041380.13","Htr2c",0,63,14,6,0,1,-0.297963602682859,2.86093327398132,0.663580388164408,1
"ENSMUSG00000041390.18","Mdfic",18,29,5,25,0,26,-0.146005974730003,5.9878724474556,0.66360226023412,1
"ENSMUSG00000041396.13","Mettl18",23,14,22,16,6,8,0.155041284585772,5.33694824876775,0.663677991286635,1
"ENSMUSG00000041399.3","1700013G24Rik",0,0,0,2,0,3,1.10498815145409,1.03899556950939,0.6638309962485,1
"ENSMUSG00000041406.14","BC055324",12,22,0,25,1,9,0.155196504304089,6.2019903538922,0.663949332071517,1
"ENSMUSG00000041408.18","Wapl",304,545,304,648,57,278,-0.949519713627047,1.01907064485524,0.66398308892059,1
"ENSMUSG00000041415.10","Dicer1",268.001,389.001,266.999,364,37.999,268.999,-0.882198528153299,1.00600540258564,0.664044214227403,1
"ENSMUSG00000041417.15","Pik3r1",1279,1793,768,2391,242.001,1116,-0.798532494550184,1.0414491947483,0.664114739343423,1
"ENSMUSG00000041420.18","Meis3",95,104,31.999,136,32,73,0.134370945764155,6.94138638238759,0.664145839786,1
"ENSMUSG00000041426.12","Hibch",31,37,26,62,6,30,0.136139332655435,6.16773041636726,0.664162580535915,1
"ENSMUSG00000041429.3","Nthl1",17,17,0,25,2,3,0.123710799193818,6.59458864142198,0.664296084938875,1
"ENSMUSG00000041431.16","Ccnb1",6,3.838,1,43.862,0,13.297,0.932480730791217,1.03509494004353,0.664357894100215,1
"ENSMUSG00000041438.8","Utp4",23,74,62,106,12,47,-0.256921627557346,3.33350128094442,0.664367361679929,1
"ENSMUSG00000041439.15","Mfsd6",0,13,7,4,0,19,-0.449009796211254,2.84514836114586,0.66442242672029,1
"ENSMUSG00000041440.18","Gk5",16,35,10,67,10,17,-0.333243084799238,2.8499263608932,0.664427052560437,1
"ENSMUSG00000041444.14","Arhgap32",64,179,97,149,40,69,-1.10933779049575,0.434738763868218,0.66444352883249,1
"ENSMUSG00000041445.9","Mmrn2",10,2,0,4,0,5,-0.396202940591072,3.00243940844408,0.664502296845509,1
"ENSMUSG00000041453.12","Rpl21",536,750.73,432.001,1093.537,122,576.847,-0.175314697198803,4.21296483483816,0.664507496163871,1
"ENSMUSG00000041459.15","Tardbp",286.998,461,217,538,39,208,0.376162176956617,2.77198235349453,0.664561187812504,1
"ENSMUSG00000041460.16","Cacna2d4",0,7,4,12,5,5,-0.164784939703743,5.11511240076246,0.664592646022257,1
"ENSMUSG00000041471.9","Shld2",59,46,20,49,7,40,-0.379596458852175,3.23976401738226,0.664617453595197,1
"ENSMUSG00000041477.14","Dcp1b",63,68,38,57,9,54,-0.159131375442679,5.85234946334298,0.664643906808093,1
"ENSMUSG00000041479.14","Syt15",3,2,0,13,0,5,-0.678778444425874,1.43453432708841,0.664674231742268,1
"ENSMUSG00000041482.17","Piezo2",29,8,2,30,6,36,-0.905834260570636,0.993184423982763,0.664700270119831,1
"ENSMUSG00000041483.14","Zfp281",122,138,49,152,17,110,-1.10295633385329,0.400448160591459,0.664760693115271,1
"ENSMUSG00000041488.16","Stx3",11,27,6,30,1,21,-1.10295633385329,0.400448160591459,0.664760693115271,1
"ENSMUSG00000041491.8","Cep78",27,28,6,36,5,19,0.958595135594845,1.42473886566526,0.664874807246246,1
"ENSMUSG00000041498.13","Kif14",0,1,0,44,0,19,-0.14153657286021,6.76025667790643,0.664876501641517,1
"ENSMUSG00000041506.15","Rrp9",31,43,55,63,4,40,0.133000828690162,7.28646996629639,0.664975220711214,1
"ENSMUSG00000041515.10","Irf8",1586,1865,1158,1660.001,190,1361.001,-0.13268079914178,6.49306450543614,0.664987308112401,1
"ENSMUSG00000041523.3","Upk2",8,6,0,14,0,2,0.306176259741542,3.85174069085442,0.664995748923099,1
"ENSMUSG00000041528.15","Rnf123",154,200.999,102,184,21,118.001,-0.20521666262048,4.3416516010697,0.66504542055983,1
"ENSMUSG00000041530.17","Ago1",576,661.782,251,573,66,343.416,-0.124423042785669,6.03924980290749,0.665128538360743,1
"ENSMUSG00000041534.9","Rbp3",14,3,0,0,0,2,1.22506829666293,0.464179174301126,0.66513993340362,1
"ENSMUSG00000041538.16","H2-Ob",125.001,153,51,188.001,25,106.999,-0.629281678687048,1.52441773422286,0.665158412333466,1
"ENSMUSG00000041540.16","Sox5",2,11,0,31,0,11,-0.945448836958415,0.509502462234502,0.665285805939885,1
"ENSMUSG00000041548.4","Hspb8",0,2,0,1,0,4,0.161940005282723,5.03731964176807,0.66533134422306,1
"ENSMUSG00000041552.7","Ptchd1",16,20,9,9,0,5,0.183463218411128,5.68191284809743,0.665367999288021,1
"ENSMUSG00000041556.8","Fbxo2",7,1,0,0,0,0,0.969879498110988,1.42496168540859,0.665376812133124,1
"ENSMUSG00000041559.7","Fmod",0,3,0,3,4,6,-1.19579041864534,0.480932219530533,0.665384497740647,1
"ENSMUSG00000041560.12","Nop53",221,334,179,474.001,42,257.001,-1.07299584037531,0.505104042137257,0.665402445182034,1
"ENSMUSG00000041565.17","L3mbtl4",0,1,0,21,0,10,-1.28839368959442,0.467751993284992,0.665440588782164,1
"ENSMUSG00000041566.3","Tssk1",17,3,0,0,0,7,-1.28839368959442,0.467751993284992,0.665440588782164,1
"ENSMUSG00000041567.3","Serpina12",0,2,5,17,0,1,1.28819955800041,0.500670719924253,0.665453369708412,1
"ENSMUSG00000041570.14","Camsap2",274.001,407,182,453,46,198,1.28819955800041,0.500670719924253,0.665453369708412,1
"ENSMUSG00000041571.9","Selenow",13,18,13,73,13,13,-0.523402404920739,2.11836050837489,0.66557236489804,1
"ENSMUSG00000041577.5","Prelp",0,32,0,10,0,1,1.36782712955751,0.492386770383555,0.665574512731687,1
"ENSMUSG00000041592.16","Sdk2",15,6,0,11,0,6,0.851257342123624,1.4146835065147,0.665579388438645,1
"ENSMUSG00000041594.18","Tmtc4",20,53,11,45,2,39,-0.406145364870529,2.41419342365023,0.665621547091181,1
"ENSMUSG00000041598.7","Cdc42ep4",88,97,46,128,4,73,-0.906812715621878,0.477351756748622,0.665646709724976,1
"ENSMUSG00000041605.16","Inava",0,5,0,13,0,4,-0.564343981466641,0.524347765795991,0.665651249225065,1
"ENSMUSG00000041607.17","Mbp",112,231.999,112,242,44,100,-0.564343981466641,0.524347765795991,0.665651249225065,1
"ENSMUSG00000041608.8","Entpd3",0,3,0,13,2,0,-1.2640300227287,0.496241450908045,0.665672477865187,1
"ENSMUSG00000041609.16","Bicdl1",12,21,0,34,0,5,-1.2640300227287,0.496241450908045,0.665672477865187,1
"ENSMUSG00000041617.10","Ccdc74a",5,4,9,1,0,2,-1.2640300227287,0.496241450908045,0.665672477865187,1
"ENSMUSG00000041623.17","D11Wsu47e",73,43,7,46,5,35,-1.2640300227287,0.496241450908045,0.665672477865187,1
"ENSMUSG00000041624.10","Gucy1a2",0,7,0,2,0,6,-0.713099694784255,0.504615220922291,0.665695130885894,1
"ENSMUSG00000041625.15","Ggact",11,18,17,19,4,13,1.37123354859191,0.519001697797237,0.665713829648778,1
"ENSMUSG00000041629.7","Fam104a",110,84,33,150,19,67,-0.87426461741167,0.494529634218823,0.665767122570992,1
"ENSMUSG00000041632.7","Mrps27",29,34,27,23,1,45,0.130934237869903,9.35583182996721,0.665770859678892,1
"ENSMUSG00000041633.14","Kctd12b",20,29,22,30,5,13,-1.21271018441629,0.51365232346029,0.665775095418922,1
"ENSMUSG00000041638.18","Gcn1",752.999,1099,517,1029,82.999,730.897,-0.437884365638815,2.41112019465104,0.665807857800691,1
"ENSMUSG00000041642.18","Kif21b",1557,2652,1102,1875,257,1429,0.127281002366029,9.82969396001315,0.665830460507861,1
"ENSMUSG00000041644.14","Slc5a12",0,9,0,10,0,2,-0.125356282646184,7.11040178873096,0.665839910294281,1
"ENSMUSG00000041645.14","Ddx24",265,255.999,119,337,40,167,1.08516905017116,0.514780760956857,0.665858826051294,1
"ENSMUSG00000041650.15","Pcca",90.001,96,67.001,61.999,7,43,0.876435789241017,1.40969359714472,0.665890251164556,1
"ENSMUSG00000041654.15","Slc39a11",75,73,50,140,22,50,0.563960337849039,2.27039210406067,0.665894968377305,1
"ENSMUSG00000041660.8","Bbox1",0,1,0,4,0,9,-1.29740337396527,0.503892735282871,0.665951641315448,1
"ENSMUSG00000041670.17","Rims1",3,4,0,0,0,6,-1.29740337396527,0.503892735282871,0.665951641315448,1
"ENSMUSG00000041671.13","Pyroxd1",52,40,34,94,8,30,-0.173999035417713,5.04481969755846,0.665956277010235,1
"ENSMUSG00000041673.12","Lrrc18",24,9,0,10,0,4,0.728794373512921,1.61423559614489,0.666024088951721,1
"ENSMUSG00000041679.9","Lrrc29",12,5,0,11,0,2,0.543960583664602,2.62212078377831,0.66604364999551,1
"ENSMUSG00000041684.11","Bivm",49,55,19,73,0,22,-0.717869808508925,0.512837418490162,0.666050376436584,1
"ENSMUSG00000041685.16","Fcho2",568.999,712,357.999,725,90,423,-0.430575028056681,2.42091409282752,0.666056274359776,1
"ENSMUSG00000041688.16","Amot",5,7,0,8,0,2,1.45083918385333,0.537305454673789,0.66605724328936,1
"ENSMUSG00000041695.2","Kcnj2",108,117,73,149,12,78,-0.154474659729785,6.86266364053219,0.666094453879398,1
"ENSMUSG00000041696.14","Rasl12",24,3,12,14,0,3,-1.32799709388359,0.535385528433102,0.666097660019454,1
"ENSMUSG00000041697.8","Cox6a1",94,180,45,210,16,136,-0.306269234980364,3.485922036704,0.666101490143012,1
"ENSMUSG00000041698.11","Slco1a1",0,4,0,8,0,1,-0.142055275305518,6.21377217705356,0.666104280826921,1
"ENSMUSG00000041702.7","Btbd7",207,366,143,391,63.999,210.999,0.155461054919073,6.46508682599398,0.666106403313019,1
"ENSMUSG00000041703.7","Zic5",11,3,0,22,0,2,-0.128869273927809,6.62674708692483,0.666123113874037,1
"ENSMUSG00000041707.8","Tmem273",140,152,78,120,21,109,0.210883934156547,4.81809708007882,0.666140797820462,1
"ENSMUSG00000041708.12","Mpped1",3,1,5,0,0,7,-1.10342926688914,0.526527410291088,0.666157594714775,1
"ENSMUSG00000041710.4","Trpc5",0,1,0,2,0,4,-0.703901818720734,1.50848592523717,0.666189224783746,1
"ENSMUSG00000041712.7","Ubr7",97,90,56,100,12,72,1.24298108377167,0.52012154704291,0.666198645563435,1
"ENSMUSG00000041716.7","Gm20604",11,24.486,0,54.699,10,17.607,0.789060852192169,1.49840895889973,0.666225833664202,1
"ENSMUSG00000041718.16","Alg13",30,30,16,48,3,19,1.08238562389564,0.539670749749404,0.666230267482376,1
"ENSMUSG00000041720.14","Pi4ka",251,303.999,127,280.999,22,195,-0.309230277406579,2.69368464255406,0.666281037094683,1
"ENSMUSG00000041722.7","Khdc1c",0,0,8,6,2,0,-0.170827942328084,6.25575814115393,0.666305925675462,1
"ENSMUSG00000041729.15","Coro2b",4,9,0,13,0,9,-0.233880059721639,3.70055195527481,0.66630740375735,1
"ENSMUSG00000041730.14","Prrxl1",5,1,0,8,0,3,0.849496492453022,1.40280552852889,0.666321470999685,1
"ENSMUSG00000041731.13","Pgm5",15,4,0,0,0,2,1.42537758522712,0.553511235141932,0.666420911858938,1
"ENSMUSG00000041733.10","Coq5",74,46,32,102,2,57,1.42537758522712,0.553511235141932,0.666420911858938,1
"ENSMUSG00000041734.15","Kirrel",6,5,5,7,0,8,1.42537758522712,0.553511235141932,0.666420911858938,1
"ENSMUSG00000041736.7","Tspo",60,73,38,222,29,40,1.42537758522712,0.553511235141932,0.666420911858938,1
"ENSMUSG00000041740.16","Rnf10",362.001,466,224,626,48,365,0.963563596893417,0.54489532002939,0.666555033286037,1
"ENSMUSG00000041741.10","Pde3a",0,4,2,0,0,8,0.963563596893417,0.54489532002939,0.666555033286037,1
"ENSMUSG00000041747.3","Utp15",76,90,69,106,17,68,-0.215997112621038,4.05851953625979,0.666589718724361,1
"ENSMUSG00000041754.5","Trem3",0,2,0,96,2,11,-0.432810027873972,2.40353801531602,0.666729837919869,1
"ENSMUSG00000041757.17","Plekha6",15,10,6,18,0,8,0.938571365105,0.560935519195575,0.666760030551907,1
"ENSMUSG00000041762.16","Gpr155",678,1003,429,625,108,609,0.209784490096134,4.16123835495936,0.667033219867846,1
"ENSMUSG00000041763.14","Tpp2",300.001,480,283,687.001,62,283.001,0.46119432865051,2.36640042660997,0.667050141049308,1
"ENSMUSG00000041765.6","Ubac2",128,123,69,176,20,92,0.822812023640425,1.48348045954443,0.667083482583089,1
"ENSMUSG00000041769.13","Ppp2r2d",106,119.001,60,139,3,87,-0.119939064649766,5.35949265793548,0.667087360660403,1
"ENSMUSG00000041771.14","Slc24a4",0,7,0,9,0,10,1.40019068455472,0.569077547876834,0.667107086132353,1
"ENSMUSG00000041773.8","Enc1",397,845,473,662,83,404,1.40019068455472,0.569077547876834,0.667107086132353,1
"ENSMUSG00000041774.16","Ydjc",19,16,1,23,1,20,0.482155895493082,2.68597343484911,0.667154001275128,1
"ENSMUSG00000041775.7","Mapk1ip1",93,92,38,101,0,72,-0.756236200812634,0.582767637578859,0.667172546160366,1
"ENSMUSG00000041777.12","Cir1",66,119,43,106,0,98,0.258118595912158,4.20936201757414,0.667230092651861,1
"ENSMUSG00000041779.5","Tram2",68,78,41,75,8,49,-0.551706919577993,2.11790540794392,0.667362634072323,1
"ENSMUSG00000041781.9","Cpsf2",222,153,115,195,1,116,1.02168137707122,0.578808300750689,0.6673740281421,1
"ENSMUSG00000041797.7","Abca9",1633,3206,1415,2639,321,1561,-0.644291759329369,1.38764986846834,0.667454943219026,1
"ENSMUSG00000041805.3","Pramel1",0,0,3,3,0,3,-0.916424290682918,0.573454089170471,0.66746784935601,1
"ENSMUSG00000041809.5","Efhc1",9,3,1,0,0,1,1.47568104608116,0.586609778257429,0.667521374329166,1
"ENSMUSG00000041815.14","Poldip3",304,494,243,635,65.001,305,1.47568104608116,0.586609778257429,0.667521374329166,1
"ENSMUSG00000041817.14","Fam169a",29,68,50,100,7,70,1.47568104608116,0.586609778257429,0.667521374329166,1
"ENSMUSG00000041827.15","Oasl1",14,6,0,25,3,3,-0.229734130066614,3.14579927729112,0.667628582934842,1
"ENSMUSG00000041828.15","Abca8a",0,5,0,3,0,8,0.120541558578661,7.18085992666058,0.667667492447475,1
"ENSMUSG00000041831.17","Sytl3",0,8,10,13,0,6,-0.127518291345295,7.10018765841445,0.667706529673324,1
"ENSMUSG00000041836.10","Ptpre",575,564,203,530.999,31,336,0.637060477783362,2.19171268066512,0.667708462214412,1
"ENSMUSG00000041837.4","Pdcd7",70,117,80,49,14,61,0.99499579132128,1.38729432757012,0.667756871004563,1
"ENSMUSG00000041840.8","Haus1",22,22.999,4,48,0,19,-0.15782107078405,6.30520059336261,0.66779365218023,1
"ENSMUSG00000041841.8","Rpl37",140.066,337.459,188.922,453.338,52.91,234.326,-0.190444156462874,4.84122190255682,0.667807953073641,1
"ENSMUSG00000041842.15","Fhdc1",6,13,18,43,4,6,0.132062073521927,6.82403762875764,0.667819902866982,1
"ENSMUSG00000041846.15","Ppp4r3a",268.999,467.001,247,490.001,59.001,271,0.996338655606525,0.593860447334828,0.667826138789301,1
"ENSMUSG00000041849.7","Card6",132,145.863,123,164.854,5,129,0.996338655606525,0.593860447334828,0.667826138789301,1
"ENSMUSG00000041852.15","Tcf20",266,226,161,310,37,112,-0.514047971008102,3.15253047545929,0.667879268652813,1
"ENSMUSG00000041859.10","Mcm3",179,175,52,254,15,185,1.02645289454648,1.38848153461185,0.667956882889523,1
"ENSMUSG00000041870.16","Ankrd13a",412,713,396,909,81,392,0.126738653035528,8.01308810034211,0.667996925902049,1
"ENSMUSG00000041879.13","Ipo9",325,383.001,214,363,26,223,-0.134104305121546,8.77948800216752,0.668139720065538,1
"ENSMUSG00000041881.13","Ndufa7",8,51,28,71,6,40,1.29262924873224,0.60812836505466,0.668281052864352,1
"ENSMUSG00000041886.7","Macc1",0,3,5,21,0,7,1.07546122972138,0.611348179364027,0.668334756089057,1
"ENSMUSG00000041889.7","Shisa4",0,9,0,42,0,16,0.141813261362026,6.02016891673566,0.66833852660466,1
"ENSMUSG00000041890.17","Git2",917,1186,682,1290.999,145,765,-0.161421323941938,6.48650066382838,0.668359781923509,1
"ENSMUSG00000041891.16","Lman1",281,336,225,294,24,204,0.955121302261873,1.3777099516445,0.668370466747914,1
"ENSMUSG00000041895.15","Wipi1",23,46,16,80,5,27,0.966432737393177,1.3778098267732,0.668441187322343,1
"ENSMUSG00000041907.9","Gpr45",0,1,0,31,0,5,-0.140114444415992,6.37870690528557,0.668557668320948,1
"ENSMUSG00000041911.3","Dlx1",3,1,0,13,0,8,0.148132620382596,6.41331596602698,0.668711100167081,1
"ENSMUSG00000041912.12","Tdrkh",36,74,19,47,7,23,0.125719914604544,7.80664065796134,0.668725517260733,1
"ENSMUSG00000041915.9","Ammecr1l",89,152,72,209,7,97,-0.253857799535211,4.47044156723744,0.66875238160918,1
"ENSMUSG00000041920.14","Slc16a6",751,1172.999,531,873,131.999,684,0.143749998803595,6.98121234667876,0.668813775981166,1
"ENSMUSG00000041921.16","Metap1d",67,164,71,121,19,110,1.04982516359198,0.625499002353835,0.668947595910873,1
"ENSMUSG00000041923.15","Nol4",0,5,14,13,0,2,-0.213737896649634,4.04490019966931,0.669019597720947,1
"ENSMUSG00000041926.15","Rnpep",240,367,244,397.999,21,266,-0.224964261798875,4.49216259022847,0.669028723785444,1
"ENSMUSG00000041930.7","Fam222a",34,12,15,37,3,16,0.757042652304646,1.9565914373576,0.669048982992342,1
"ENSMUSG00000041935.10","AW549877",223,299,166,236,32,165,1.12553291524797,0.642624955768826,0.669328331390598,1
"ENSMUSG00000041936.18","Agrn",74,138,70,155,14,60,-0.127734060183587,13.0799941600916,0.669335511467899,1
"ENSMUSG00000041939.14","Mvk",24,17,8,36,3,24,0.106697597734218,5.65334221056205,0.669406023412892,1
"ENSMUSG00000041945.12","Mfsd9",26,13,11,4,0,8,-0.363450311547873,2.667158920071,0.669571297184594,1
"ENSMUSG00000041949.6","Tango6",76,36,40,76,2,33.001,-0.164487098410697,6.07194496592213,0.669596576473649,1
"ENSMUSG00000041957.15","Pkp2",0,5,0,8,0,1,0.125775488179542,6.27771235694034,0.669639064736232,1
"ENSMUSG00000041958.10","Pigs",97,124,67,119,7,77,-0.423361675699272,2.37734584913809,0.669752704951549,1
"ENSMUSG00000041959.14","S100a10",10,7,0,41,0,6,-0.212209801638223,4.96537767675454,0.669815895367728,1
"ENSMUSG00000041961.14","Znrf3",26,51,19,55,8,32,-0.338671077841434,3.32952020945806,0.669829255122477,1
"ENSMUSG00000041966.18","Dcaf17",88.999,75,37,66,18,27.001,0.342909265398335,3.70126463241044,0.669918422620839,1
"ENSMUSG00000041974.10","Spidr",8,94,26,108,9,40,-0.342991764381113,3.49479983097527,0.669975840361032,1
"ENSMUSG00000041975.17","Mettl8",23.999,69.999,20,54,12,39,-0.394336691829972,2.48105932859343,0.669988047580029,1
"ENSMUSG00000041977.18","Arhgef11",199,322,129,313,39,133,-0.15349168552742,5.77643478283568,0.670036327384521,1
"ENSMUSG00000041984.2","Rptn",0,4,0,9,6,5,0.143033626008304,6.90116206365319,0.670042910144537,1
"ENSMUSG00000041991.18","Hrnr",3,0,2,3,0,13,0.219616923697075,4.74315173530973,0.670092066178987,1
"ENSMUSG00000041992.9","Rapgef5",669.001,1041,461,1115.999,118,641,-0.178283188860276,5.52279213440388,0.67017889024558,1
"ENSMUSG00000041995.8","Zbed3",17,48,36,43,1,53,-0.137267278282071,6.27184528197369,0.670205371315233,1
"ENSMUSG00000041997.16","Tlk1",130,280,145,345,26,117,0.170634904416174,6.06558607399884,0.670216138956786,1
"ENSMUSG00000042002.11","Foxn4",2,0,0,9,0,3,-0.471765140787269,3.00680710009799,0.670270804763166,1
"ENSMUSG00000042010.16","Acacb",2,9,10,0,0,8,-0.64155770126893,1.33200934154574,0.670286977530756,1
"ENSMUSG00000042015.17","Wdr41",133,159.001,75,159,5,82,0.982834705048201,1.34572628404426,0.670341082750901,1
"ENSMUSG00000042029.7","Ncapg2",30,19,31,95,0,26,0.139071617927289,6.15786938952845,0.670403884736983,1
"ENSMUSG00000042032.13","Mat2b",129,151,29,182.999,9,117,0.955279884526421,1.35095412386163,0.670438568515561,1
"ENSMUSG00000042035.11","Igsf3",0,3,5,17,0,7,0.323742029170617,3.89653798305868,0.670544023574412,1
