"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_14A1","PVN_14A2","PVN_14A3","logFC","logCPM","PValue","FDR"
"ENSMUSG00000073924.5","Olfr656",4,4,0,8,0,4,-0.0555164678943312,1.45737114899699,0.936957228500465,1
"ENSMUSG00000073926.4","Olfr653",0,1,5,3,4,5,-0.0130934446378813,7.56273174446736,0.937016903578955,1
"ENSMUSG00000073927.6","Olfr652",3,1,2,10,0,11,0.437449917197442,1.46083924694131,0.937018624448419,1
"ENSMUSG00000073931.3","Olfr646",0,4,0,12,1,3,0.130038777611641,2.83122857902029,0.937074350656013,1
"ENSMUSG00000073937.2","Olfr633",0,1,0,5,0,8,0.264538185810546,1.45462467749196,0.937081591210887,1
"ENSMUSG00000073938.3","Olfr632",15,7,0,13,0,2,0.361216966098301,1.44546575784746,0.937161451792985,1
"ENSMUSG00000073943.4","Olfr625-ps1",0,4,0,3,0,3,-0.125883384668031,1.4378731915382,0.937193596234977,1
"ENSMUSG00000073946.5","Olfr617",0,1,8,6,0,0,-0.0200989034456352,8.38767651116774,0.937203435438065,1
"ENSMUSG00000073947.4","Olfr615",2,5,0,0,6,0,0.0242715412705065,3.84425830422943,0.9372244859856,1
"ENSMUSG00000073949.4","Olfr606",0,4,0,4,0,1,0.0592335385967234,2.61183004926238,0.93728198678075,1
"ENSMUSG00000073950.6","Olfr599",8,1,0,0,0,3,-0.117400726651954,1.44759742610519,0.937283493430478,1
"ENSMUSG00000073952.5","Olfr597",0,5,0,3,0,4,-0.0467725100874186,2.8136687858846,0.937326665204071,1
"ENSMUSG00000073953.4","Olfr596",0,2,11,11,0,8.036,-0.0309579606208009,6.85803397041211,0.937328424330739,1
"ENSMUSG00000073956.3","Olfr592",0,0,0,9,0,6,-0.116549565046828,1.43275057646422,0.937344618290216,1
"ENSMUSG00000073959.5","Olfr584",0,10,0,3,0,5,-0.032631865887967,7.19560253502446,0.937357041856575,1
"ENSMUSG00000073960.1","Olfr583",0,2,0,8,0,4,-0.0533842971862803,5.62305926233998,0.937368823462522,1
"ENSMUSG00000073961.4","Olfr582",0,0,0,9,0,4,0.0907786493455178,2.53377342013076,0.937369018231273,1
"ENSMUSG00000073962.9","Olfr576",10,0,0,2,0,3,-0.0931591908401827,1.42813981635304,0.937545021450421,1
"ENSMUSG00000073963.3","Olfr572",0,0,0,3,0,5,0.0222334419380272,8.62953155375152,0.937614673484319,1
"ENSMUSG00000073966.3","Olfr561",0,0,0,2,0,3,-0.178416145509555,1.41774727910224,0.937651014860046,1
"ENSMUSG00000073967.3","Olfr557",4,1,0,5,0,5,-0.120558302979454,2.73286706260555,0.93767224060277,1
"ENSMUSG00000073968.4","Trim68",21,24,30,17,3,19,-0.0451826547534918,5.94701102228853,0.9376777423545,1
"ENSMUSG00000073969.3","Olfr556",0,2,0,12,0,9,0.370241651767751,1.42123051476998,0.937714459221335,1
"ENSMUSG00000073970.1","Olfr555",0,1,6,0,0,3,0.139788623463517,2.79157356107677,0.937821738427312,1
