"","geneid_symbol","PVN_14A1","PVN_14A2","PVN_14A3","PVN_14L1","PVN_14L2_b1","PVN_14L3_b1","PVN_14L4","PVN_14L5","PVN_14L6","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","PVN_3L1_b1","PVN_3L2_b1","PVN_3L3","PVN_naive1","PVN_naive2","PVN_naive3"
"ENSMUSG00000022428.8","Cby1",5.924293,0,4.32075,10.55713,0,0.253693,15.263454,95.038987,16.506501,4.792107,9.299657,1.457801,4.677784,7.67642,18.594572,5.390318,6.745654,0
"ENSMUSG00000022429.11","Dmc1",1.192506,0,0,0,0,0,2.144057,0,1.703535,0,5.540041,1.572671,0,0,0,0,0,0
"ENSMUSG00000022431.3","Ribc2",0,0,0,0,0,0,0,0,0,0,1.859755,0,0,0,2.201319,0,0,0
"ENSMUSG00000022432.7","Smc1b",0,0,0,0,0,0,0,0.657956,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022433.20","Csnk1e",220.780304,321.185447,331.521143,312.970753,548.923524,299.656734,253.905149,270.271942,193.131366,256.32194,264.792695,339.787681,351.52746,345.984545,416.452689,344.227251,327.676042,246.176037
"ENSMUSG00000022434.8","Fam118a",2.105159,6.43958,4.2993,3.224671,4.446898,2.969987,9.100174,0,5.582109,8.263592,5.20146,12.99989,4.526071,4.866925,4.827098,0.408353,4.098745,0
"ENSMUSG00000022435.6","Upk3a",2.093412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000022436.16","Sh3bp1",108.931675,280.927616,161.329105,161.37054,136.148597,173.642163,77.469636,188.382095,119.220898,233.845477,157.535481,156.692469,173.885916,161.154639,236.246563,195.541661,150.63287,115.623773
"ENSMUSG00000022437.7","Samm50",50.171429,20.433965,63.488002,37.988571,101.513386,95.96498,23.282927,31.975854,31.23561,40.909718,50.542192,52.537881,60.02571,52.519225,74.594469,77.573128,64.149718,84.725008
"ENSMUSG00000022438.6","Parvb",6.289552,3.133903,11.43445,13.195765,12.247257,21.651109,14.430295,9.884024,5.725328,9.535427,14.663642,14.340535,11.361487,27.982403,9.007878,7.651565,12.092656,12.981375
"ENSMUSG00000022439.9","Parvg",137.964072,196.673935,142.253264,129.528529,125.024824,224.471414,110.847056,127.313562,200.60233,148.4258,204.399706,142.507245,173.314921,174.782531,144.223918,145.847515,152.9069,86.25845
"ENSMUSG00000022440.9","C1qtnf6",0,0,2.001142,0.912605,0,0,0,0,0,0,0.306389,0,0,0,0,0,0,3.39135
"ENSMUSG00000022441.17","Efcab6",0,0,0,0,0,6.934261,0.983974,0,0.583251,0.379459,2.566636,0,0,1.126371,0.973965,0.63022,2.366177,0
"ENSMUSG00000022442.16","Ttll1",6.140559,0,9.959976,8.383168,0,8.291746,1.879323,10.509531,12.955868,17.094395,8.305293,12.041144,4.210003,8.187823,17.760165,6.486328,5.865351,4.528057
"ENSMUSG00000022443.17","Myh9",263.907119,256.694672,236.889941,211.538493,150.651843,275.198839,166.849247,257.531393,570.545997,221.169071,264.903442,263.371399,179.2342,240.829762,262.536823,202.435796,245.048197,212.208926
"ENSMUSG00000022445.7","Cyp2d26",0,0,1.870885,4.505629,0,0,0,0,0,0,0,0.253119,4.499371,0,2.520843,0,0,0
"ENSMUSG00000022449.14","Adamts20",0.056233,0,0,1.419895,0,0,1.261899,1.427205,2.090642,0.855762,1.678624,0,0.506188,0,0.563498,0,0.224039,0
"ENSMUSG00000022450.6","Ndufa6",83.440498,14.753997,78.387144,64.584765,100.425374,95.232093,48.920932,74.601386,89.384892,36.334926,91.018624,53.535563,84.070473,101.752428,51.138581,131.105527,69.027538,47.348141
"ENSMUSG00000022451.12","Twf1",20.205701,169.42513,33.62464,24.384005,109.388765,29.973417,24.287584,22.362703,19.747094,22.066869,51.004503,26.805203,25.572246,38.900314,32.570502,20.201263,25.887652,50.059207
"ENSMUSG00000022452.16","Smdt1",64.370052,0,83.951435,48.09526,149.98847,91.640581,43.790598,92.35584,131.466825,78.069005,54.373555,66.183268,29.062854,81.000895,68.125398,112.48859,57.975742,39.511776
