"","geneid_symbol","PVN_naive1","PVN_naive2","PVN_naive3","PVN_3A1_b1","PVN_3A2","PVN_3A3_b1","logFC","logCPM","PValue","FDR"
"ENSMUSG00000017721.15","Pigt",243,270,118,322,505,968,0.447283658361004,6.08810047536627,0.159031268658249,1
"ENSMUSG00000017724.14","Etv4",0,0,2,9,7,0,-0.390120760963823,6.21713961504399,0.159071789400448,1
"ENSMUSG00000017734.15","Dbndd2",43,30,35,45,61.999,157.959,-1.56616984905399,2.48648895222173,0.159092249531404,1
"ENSMUSG00000017737.2","Mmp9",18,14,17,1361,1512,486,0.611591212878235,4.44939026400503,0.159224986684337,1
"ENSMUSG00000017740.17","Slc12a5",6,4,11,29,22,87.999,3.01701673663994,1.61500064131931,0.15929315475894,1
"ENSMUSG00000017747.13","Ghdc",86,101,87,161,174,344,-0.381893774952144,7.41264618277537,0.159348858307581,1
"ENSMUSG00000017754.13","Pltp",12,43,6,16,35,45,0.577779674138055,4.54975028614,0.159498363681064,1
"ENSMUSG00000017756.9","Slc12a7",71.999,178.001,47.999,81,286.999,644,5.67085763574108,0.0666137455593354,0.159506826835555,1
"ENSMUSG00000017760.16","Ctsa",2167.001,2466,1343,2269.998,4832.002,9413,4.0715642898366,0.635432751208722,0.159545714997801,1
"ENSMUSG00000017764.2","Zswim1",17,23,4,3,56,144,-4.16041187958649,0.517002395766215,0.159569120843652,1
"ENSMUSG00000017765.17","Slc12a4",136,128,67,110,224.999,584,-1.40617660095541,2.5558249697038,0.159880461055691,1
"ENSMUSG00000017767.3","Spata25",1,0,8,0,3,5,-0.529717749408772,5.0636634770053,0.159916678011552,1
"ENSMUSG00000017774.19","Myo1c",208,423.001,167,301.001,712,2482,5.54794493660151,-0.0608287431523724,0.160043982785795,1
"ENSMUSG00000017776.15","Crk",377,644.999,249,537,885.001,1919,5.54794493660151,-0.0608287431523724,0.160043982785795,1
"ENSMUSG00000017778.14","Cox7c",46,97.999,22,173,178.994,350.977,1.76310114660264,2.43266203556742,0.160044987814587,1
"ENSMUSG00000017781.17","Pitpna",274,531,287,621.999,832,2089,0.392469891322718,7.75623536531214,0.160060031200415,1
"ENSMUSG00000017801.15","Mlx",63,51,48,86,130,272,1.01327548561133,3.14526842071193,0.160087492934692,1
"ENSMUSG00000017802.14","Retreg3",215,262,127,208,539,984,-3.87875099216427,0.414714292980532,0.160131612451477,1
"ENSMUSG00000017830.15","Dhx58",45,53,49,25,81.999,454,-3.34512050275279,0.931254121037535,0.160161766334306,1
"ENSMUSG00000017831.8","Rab5a",184,336,162,205,426,1020,-0.60905176755943,4.75744472179433,0.160214931805816,1
"ENSMUSG00000017832.2","Hspb9",0,0,0,0,3,1,5.56219689483934,-0.0386772087395822,0.160247886848332,1
"ENSMUSG00000017837.12","Nkiras2",66,84,41,141,217,594,4.17513751142098,0.673905907239502,0.16025051913848,1
"ENSMUSG00000017843.14","Ppp2r5c",337,525,320.001,402,868.002,2038.001,5.6350722711668,-0.055532861034851,0.160403101597061,1
"ENSMUSG00000017858.12","Ift52",52,39,29,42,94,222,0.384142740359112,6.45173616976749,0.16048556955367,1
"ENSMUSG00000017861.11","Mybl2",13,9,11,31,59.562,35,2.56938253651186,1.52636731793239,0.160587531742727,1
"ENSMUSG00000017868.16","Sgk2",8,3,4,0,2,0,3.76161654792523,0.414848791403288,0.160751516534955,1
"ENSMUSG00000017929.13","B4galt5",80,126,61,86,222,591,5.53357699767383,-0.0836916617097197,0.160828702605808,1
"ENSMUSG00000017943.15","Gdap1l1",11,4,3,0,4,1,0.586761741038835,4.49764401337013,0.160909058099595,1
"ENSMUSG00000017950.16","Hnf4a",0,9,0,11,8,9,5.60504330850387,-0.0358297080347693,0.161035091040479,1
"ENSMUSG00000017978.18","Cadps2",3,4,0,2,15.001,1,-0.403281753427037,6.46773264631521,0.161074763507222,1
"ENSMUSG00000017999.16","Ddx27",126,118.001,91,153,179.999,437,0.999598747290266,3.30028916189859,0.161107496399223,1
"ENSMUSG00000018001.18","Cyth3",173,204,106,59,279,739,0.380178430234515,8.62669187187056,0.161198572534545,1
"ENSMUSG00000018008.8","Cyth4",3432.001,3590,2183,3984,7705.001,16590.002,-0.783937074331558,3.92620612094198,0.16141627027941,1
