avg,symbol
1.60040624118179e-17,Pank1
1.59990938735075e-17,Morn4
1.59904232870442e-17,Ugt2b38
1.59822364294606e-17,5430427N15Rik
1.59724109825812e-17,Vsig10
1.59650285356799e-17,Tmem106b
1.59565636185584e-17,Acnat1
1.59563904233232e-17,Acsm1
1.59433791312772e-17,Adck3
1.59186013879384e-17,Acot11
1.59118467737647e-17,Socs2
1.58743608300415e-17,Eif2b4
1.58741524545241e-17,RP23-198F11.3
1.58629515939213e-17,Baiap2l2
1.58208651517625e-17,Zfp280c
1.57973187182991e-17,Azgp1
1.57826837209229e-17,Cd46
1.57822852365731e-17,Mzf1
1.57822263772549e-17,Tctex1d2
1.56828853789777e-17,Cacna2d2
1.56150009652976e-17,Arhgef11
1.55576192189283e-17,Gmeb1
1.54654942377561e-17,Gm4208
1.54267999866496e-17,Gm14322
1.53694209464559e-17,Eef2
1.53159956287413e-17,Acad8
1.52803363535145e-17,Dock5
1.52588033146605e-17,Mettl7b
1.52462994305302e-17,Smcp
1.51265579278668e-17,Setd6
1.51053915757999e-17,Cyp39a1
1.50747671401845e-17,Eml4
1.50709987907307e-17,Zfp449
1.5056781897477e-17,Gm15354
1.50548226263786e-17,Rab40c
1.50535250152022e-17,Itgae
1.50487499684436e-17,Fam126a
1.50202485275475e-17,Ccl25
1.49948104773744e-17,Pcx
1.49926725986896e-17,Pggt1b
1.49682250087679e-17,Nfya
1.49073468835876e-17,Ackr3
1.490726028597e-17,Tia1
1.48805232715327e-17,Lig4
1.48601403572876e-17,D630036H23Rik
1.47708615962505e-17,Nup160
1.47220821054118e-17,Slc10a2
1.47016802479379e-17,Slc2a1
1.46935211286536e-17,Pfas
1.46805950811374e-17,4831440E17Rik
1.46628709843705e-17,Fxyd4
1.46509421625447e-17,Ripk4
1.45854635389288e-17,Steap2
1.45428575110644e-17,Trmt44
1.45318136086434e-17,Ly6c1
1.44695634524591e-17,Slc25a26
1.4366436514587e-17,Xrcc5
1.43322088062264e-17,Ash1l
1.42736823475994e-17,Gm17102
1.4246109124917e-17,Gm13855
1.42193829351819e-17,Cox7a1
1.4110941068529e-17,Gm10260
1.40555943661736e-17,Xpr1
1.40538109964859e-17,Speg
1.40534537813132e-17,Sh2d4a
1.39758163109497e-17,Arhgef33
1.38971856741592e-17,Calml4
1.38580489633503e-17,Rab29
1.38546012956992e-17,Dmxl2
1.38459307092359e-17,Coq3
1.38168230850166e-17,Fam53b
1.37921644134019e-17,Gramd4
1.37351074080987e-17,Zc3h6
1.37249917238915e-17,Purg
1.36756175509757e-17,Kpna2
1.36410299212669e-17,BC005561
1.36343443145698e-17,Gpatch2l
1.36246629715385e-17,Slc16a12
1.35824249835489e-17,Ttc30b
1.35787662342048e-17,BC089597
1.35280633290938e-17,Pde9a
1.34735717782123e-17,Prpf8
1.34570965814619e-17,Pnn
1.34225766061418e-17,Gm2000
1.34200165640712e-17,Cxx1a
1.33921050694451e-17,Tmem176a
1.33919088717177e-17,Ints4
1.3272903448804e-17,Poc1a
1.32156407741589e-17,Stard7
1.32047511237444e-17,Smc5
1.31974660991629e-17,Ppox
1.3176720557394e-17,Sorbs3
1.31458539190669e-17,Smad7
1.31275060488357e-17,N4bp3
1.31104138440598e-17,Cbx5
1.307805880918e-17,Hspa13
1.30711959479843e-17,Aqp1
1.30392042171722e-17,Foxi1
1.29905952153932e-17,Ftsj2
1.29869587919975e-17,Gm6525
1.29652924739976e-17,B3gnt8
1.2959506670671e-17,Kremen1
1.29141078696386e-17,Phlda2
1.28834252512489e-17,Rab3gap1
1.28087077443042e-17,Zfp746
1.28005892176532e-17,Ccdc97
1.27968005718827e-17,Hsd17b11
1.27728238565068e-17,Nip7
1.27691163960028e-17,Map3k4
1.27414423682812e-17,Derl3
1.27163019974186e-17,Stx2
1.27070313165271e-17,Cyb5r3
1.26900148846666e-17,Slc39a7
1.26569345947393e-17,Nsun2
1.26548887260233e-17,Cyp2d12
1.26490433868346e-17,Palm3
1.26377315730342e-17,Bre
1.26368723622969e-17,Pgm1
1.26107780645528e-17,Braf
1.26101285824208e-17,Tmed8
1.25929064812184e-17,Pqlc2
1.25718957342457e-17,Timp3
1.25656444687244e-17,Spata33
1.2523471428948e-17,A430033K04Rik
1.25202402553409e-17,Tnfaip8
1.25135181152739e-17,Rnmtl1
1.25010693113299e-17,Gm10642
1.25006258949521e-17,Erf
1.24915439698052e-17,Zkscan17
1.24220818557792e-17,Gm8730
1.24062020176499e-17,H1f0
1.23741947263283e-17,Gm20400
1.23424228722796e-17,Ccne2
1.23117889650498e-17,Ttyh3
1.23040520091514e-17,Caskin2
1.23032049762042e-17,Usp40
1.22941825869194e-17,Prr12
1.22684901562445e-17,Pex1
1.22604907013177e-17,Gatm
1.22446216878906e-17,Zscan26
1.2178166134901e-17,Gm43568
1.2144103503249e-17,Mettl21a
1.21427828895804e-17,Vac14
1.21333653986653e-17,Dnase2a
1.2114265211631e-17,Birc5
1.21113290111589e-17,Gm5786
1.21098812072395e-17,Ugt8a
1.20986397540034e-17,Zfp668
1.20798643080352e-17,Il4ra
1.20769199890364e-17,RP23-267I20.3
1.20659491533554e-17,Gm15217
1.20630697825698e-17,Ctnna1
1.20505753700539e-17,Gtf2h3
1.20449911768058e-17,Krt18
1.20342977241187e-17,Etv1
1.20301843372821e-17,Ugt3a2
1.20024216823113e-17,Tyrobp
1.19598778964845e-17,Ugt2b37
1.19528959635646e-17,Fubp1
1.19252063753336e-17,Sdha
1.18676006929376e-17,Tigd5
1.18521369292991e-17,Mgmt
1.18363355702607e-17,Osgin1
1.18314861036745e-17,Slc22a2
1.17791919673398e-17,Comtd1
1.17375926367801e-17,Krt7
1.17323318315103e-17,Plscr1
1.17322418511732e-17,Gm26664
1.17239359218654e-17,Rfx2
