,排名,公司,价值.亿元.,主业,董事长,总部
262,258,桃李面包,285,食品,吴学亮,辽宁沈阳
263,258,中国东方教育,285,教育,吴俊保,安徽合肥
264,263,旷视科技,280,人工智能,印奇,北京
265,263,老板电器,280,家用电器,任建华,浙江杭州
266,263,启明星辰信息技术集团,280,网络安全,王佳,北京
267,263,申通快递,280,快递,陈德军,上海
268,263,小鹏汽车科技,280,新能源汽车,何小鹏,广东广州
269,268,联美集团,275,公共事业、房地产,苏壮强,辽宁沈阳
270,269,贝达药业,270,医药,丁列明,浙江杭州
271,269,大参林医药集团,270,医药,柯云峰,广东广州
272,269,东宝实业  ,270,医药,李佳鸿,吉林通化
273,269,东阳光科技控股,270,氟化工、新能源,张寓帅,广东东莞
274,269,健友生化制药,270,原料药,唐咏群,江苏南京
275,269,绝味食品,270,食品,戴文军,湖南长沙
276,269,南极电商,270,服装,张玉祥,上海
277,269,欣旺达电子,270,电池、充电器,王威,广东深圳
278,269,中国奥园集团,270,房地产,郭梓文,广东广州
279,278,龙蟒佰利联集团,265,钛白粉,许刚,河南焦作
280,279,富源集团,260,房地产、水电、新能源,缪寿良,广东深圳
281,279,景旺电子,260,线路板,刘绍柏,广东深圳
282,279,君正集团,260,化工,杜江涛,内蒙古乌海
283,279,三生制药,260,医药,娄竞,辽宁沈阳
284,279,时代中国控股,260,房地产,岑钊雄,广东广州
285,284,合盛集团,255,化工,罗立国,浙江宁波
286,284,九州通医药集团,255,医药流通,刘宝林,湖北武汉
287,284,森马服饰,255,服装,邱光和,浙江温州
288,287,多益网络科技,250,网络游戏,唐忆鲁,广东广州
289,287,鄂尔多斯投资控股集团,250,能源、投资,王林祥,内蒙古鄂尔多斯
290,287,海天国际,250,注塑机,张静章,浙江宁波
291,287,横店集团,250,影视文化、电气电子、医药健康,徐永安,浙江金华
292,287,华海药业,250,医药,李宏,浙江台州
293,287,康哲药业控股,250,医疗数据服务,林刚,广东深圳
294,287,美亚光电技术,250,光电设备,田明,安徽合肥
295,287,千方科技,250,软件和信息系统,夏曙东,北京
296,287,丸美生物技术,250,化妆品,孙怀庆,广东广州
297,287,卫宁健康,250,医疗数据服务,周炜,上海
298,287,修正药业,250,医药,修涞贵,吉林长春
299,287,中天科技,250,电缆,薛济萍,江苏南通
300,287,作业帮,250,教育,侯建彬,北京
301,300,玲珑轮胎,245,橡胶,王锋,山东烟台
302,300,知乎,245,传媒和娱乐,周源,北京
303,302,碧水源,240,环保工程,文剑平,北京
304,302,大博医疗,240,医疗器械,林志雄,福建厦门
305,302,大搜车,240,电子商务,姚军红,北京
306,302,稻花香,240,白酒,蔡宏柱,湖北宜昌
307,302,格兰仕集团,240,家电,梁庆德,广东佛山
308,302,华大基因,240,基因检测,汪建,广东深圳
309,302,京基集团,240,房地产,陈华,广东深圳
310,302,前海人寿保险,240,保险金融,张金顺,广东深圳
311,302,青山控股,240,钢铁,项秉雪,浙江温州
312,302,日照钢铁,240,钢铁,杜双华,山东日照
313,302,融侨集团,240,房地产,林宏修,福建福州
314,302,特变电工,240,能源装备,张新,新疆昌吉
315,302,我武生物,240,医药,胡赓熙,浙江湖州
316,302,新华联集团,240,房地产、矿业、投资,傅军,北京
317,315,顾家家居,235,家具,顾江生,浙江杭州
318,315,隆基泰和,235,房地产、建筑,魏少军,北京
319,315,苏宁体育,235,传媒和娱乐,张近东,江苏南京
320,315,太阳纸业,235,造纸,李洪信,山东济宁
321,315,桐昆集团,235,化纤、房地产,陈士良,浙江嘉兴
322,315,亿利控股,235,清洁能源,王文彪,北京
323,321,杭州锦江集团,230,能源、化工,钭正刚,浙江杭州
324,321,金蝶国际软件集团,230,应用软件开发,徐少春,广东深圳
325,321,均瑶集团,230,房地产、航空、零售,王均金,上海
326,321,立华牧业,230,畜禽养殖,程立力,江苏常州
327,321,奇安信,230,网络安全,齐向东,北京
328,321,汤臣倍健,230,保健品,梁允超,广东珠海
329,321,万达控股,230,轮胎、电缆、化工、地产开发,尚吉永,山东东营
330,321,万得资讯,230,金融数据服务,陆风,上海
331,321,万丰奥特控股,230,智能制造、投资,陈爱莲,浙江绍兴
332,321,星宇股份,230,汽车灯具,周晓萍,江苏常州
333,321,越秀地产,230,房地产,林昭远,广东广州
334,321,云从科技集团,230,人工智能,周曦,广东广州
335,321,中国联塑集团,230,塑料管道及管件,黄联禧,广东佛山
336,334,鼎力机械,225,机械制造,许树根,浙江湖州
337,334,华测检测认证集团,225,第三方检测服务,万峰,广东深圳
338,334,华泽集团,225,酒业、零售,吴向东,北京
339,334,维信诺,225,电子器件制造,程涛,江苏苏州
340,338,泛海控股,220,房地产,卢志强,北京
341,338,华强集团,220,投资,张恒春,广东深圳
342,338,金域医学检验集团,220,医疗数据服务,梁耀铭,广东广州
343,338,三只松鼠,220,食品加工,章燎源,安徽合肥
344,338,圣邦微电子,220,电子通信,张世龙,北京
345,343,海普瑞药业集团,215,医药,李锂,广东深圳
346,344,东方集团,215,能源、零售、投资,张宏伟,北京
347,344,福斯特,215,光伏材料,林建华,浙江杭州
348,344,国盛金融控股集团,215,金融,杜力,广东深圳
